chu_lemma|orv_lemma|pos|lcs_lemma|pre_jot|morph_replace|PV2/3|doublet|stem1|stem2|conj_type|noun_verb|loan_place|non_assim|eng_trans|etym_disc|bad_etym|loan_source|clitic|automatched
лѫкавъ|лукавыи|A-|lǫkavъ|||||||adj_hard|2||||||||orv
тѣ||Df|tě||||||||0|||then, so, то, wtedy|||||
кольми|кольми|Du|kolьmi||||||||0|||how much, how big|||||orv
никꙑиже|никыиже|Px|nikъjьže|||||||kъjьže|2||||||||orv
работати|работати|V-|orbotati|||||||54|1||||||||orv
неродити||V-|neroditi|||||||40|1||||||||
мамона|мамона|Nb|mamona|||||||fem_a|2|25|||||μαμωνᾶς < מָמוֹנָא‎ (māmōnā)||orv
пещи|печи|V-|peћi|pekti||||pьk|pek|11|1|||bake; (refl.) worry about|||||orv
ꙗсти|ясти|V-|jǢsti|||||||eat|1||||||||orv
облѣщи|облѣщи|V-|obvelћi|obvelkti||||obvĺ̥k|obvelk|15|1|||to dress, clothe in|||||orv
болии|болии|A-|boĺь|boljь||||||adj_soft_comp|2||||||||orv
одежда|одежа|Nb|odeђǢ|odedjǢ||||||fem_ja|2||||||||orv
пътица|пътица|Nb|pъtika|||pъtica||||fem_a_PV3|2||||||||orv
сѣти|сѣяти|V-|sějǢti|||||||53|1|||sow|spellings like сѣти. сѣвъшоу are technically indistinguishable from *sějǢti, sějǢvъšu because of the vowel-contraction possibilities, so I reconstruct all with a *sějǢ- stem||||orv
жѧти|жати|V-|žęti|||||žьn|žьn|16|1|||harvest, reap|||||orv
житьница|житьница|Nb|žitьnika|||žitьnica||||fem_a_PV3|2|||granary, barn|||||orv
питѣти||V-|pitěti|||||||32|1||||||||
паче|паче|Df|pače||||||||0|||more than, greater than|||||orv
лоучии|лучии|A-|lučь|||||||adj_soft_comp|2|||better|||||orv
лакъть|локъть|Nb|olkъtь|||||||ten|2|||cubit (elbow)|||||orv
съмотрити|съмотрити|V-|sъmotriti|||||||40|1|||look at (+gen.)|||||orv
кринъ||Nb|krinъ|||||||masc_o|2|2||lilly|||κρίνον||
сельнъ||A-|selьnъ|||||||adj_hard|2|||field-|||||
расти|расти|V-|orsti|||||orst|orst|11|1||||||||orv
троуждати|труждати|V-|truђǢti|trudjǢti||||||54|1||||||||orv
прѧсти|прясти|V-|pręsti|||||pręd|pręd|11|1||||||||orv
соломонъ|соломонъ|Ne|solomonъ|||||||masc_o|2|25|W||||Σολομὼν < שְׁלֹמֹה‎ (šĕlōmōʰ)||orv
сѣно|сѣно|Nb|sěno|||||||nt_o|2|||grass; hay|||||orv
оутрѣ||Df|utrě||||||||0|||tomorrow|I disagree with ESSJa 8 p.200-1 and think it most likely that this is cognate with Eng. East < *aust-, and therefore originally unjotated. Getting rid of the /s/ is a problem. Derksen p. 510-11 has more discussion in support of my view. ||||
огнь|огнь|Nb|ogńь||||ognь|||masc_jo|2||||||||orv
въметати||V-|vъmetati|||||||54|1||||the lengthened ⰲⱏⰿⱑⱅⰰⱅⰻ form is only нес вид. Bg. мятам vs Ukr. метати suggests that forms with both vowels did exist in CS ||||
одѣꙗти|одѣяти|V-|odějǢti|||||||53|1|||clothe|||||orv
маловѣръ|маловѣрыи|A-|malověrъ|||||||adj_hard|2|||o ye of little faith|||||orv
одѣти|одѣти|V-|oděti|||||||dedj|1||||||||orv
оутрѣи||A-|utrějь||||||||0|||the morrow, the next day (this is the adverb, or 'fossilised locative', 'tomorrow', with the definite article stuck on the end)|I disagree with ESSJa 8 p.200-1 and think it most likely that this is cognate with Eng. East < *aust-, and therefore originally unjotated. Getting rid of the /s/ is a problem. Derksen p. 510-11 has more discussion in support of my view. ||||
оутрьнь|утрьнии|A-|utrьńь|utrьnjь||||||adj_soft|2||||I disagree with ESSJa 8 p.200-1 and think it most likely that this is cognate with Eng. East < *aust-, and therefore originally unjotated. Getting rid of the /s/ is a problem. Derksen p. 510-11 has more discussion in support of my view. ||||orv
довьлѣти|довьлѣти|V-|dovьlěti|||||||dovleti|1|||be enough, genügen (+DAT)|The fact that there are many Old Russian spellings with back jer (and even <о>), and that this clearly is semantically linked to довольнъ, makes me uncomfortable accepting the OCS front-jer spellings as correct (though Vasmer and ESSJa posit connection with velěti so take the front-jer as a reduced e-grade). They could also easily be due to Jagic's jer-umlaut. The OR spellings on the other hand could be caused by a later assimilation of the word (because of its meaning) with довольнъ, so I will grudgingly accept the front-jer.||||orv
осѫждати|осужати|V-|osǫђǢti|osǫdjǢti||||||54|1||||||||orv
осѫдити|осудити|V-|osǫditi|||||||40|1||||||||orv
сѫдити|судити|V-|sǫditi|||||||40|1||||||||orv
мѣра|мѣра|Nb|měra|||||||fem_a|2||||||||orv
мѣрити|мѣрити|V-|měriti|||||||40|1||||||||orv
възмѣрити|възмѣрити|V-|vъzměriti|||||||40|1||||||||orv
сѫчьць||Nb|sǫčьkь||sǫčьkъ|sǫčьcь||||masc_o_PV3|2|||splinter|||||
брьвьно|брьвьно|Nb|brьvьno|||||||nt_o|2|||beam|see ESSJa 03 p.72-73, Derksen p.67||||orv
прьвѣѥ|пьрвѣе|Df|pŕ̥věje||||||||0|||first of all, beforehand|||||orv
оузьрѣти|узьрѣти|V-|uzьrěti|||||||31|1||||||||orv
пьсъ|пьсъ|Nb|pьsъ|||||||masc_o|2||||||||orv
пометати|пометати|V-|pometati|||||||iskati|1||||||||orv
бисьръ||Nb|bisьrъ|||||||masc_o|2|7||pearl|||||
свиниꙗ|свиния|Nb|svinьjǢ|||||||fem_ja|2||||||||orv
попьрати|попьрати|V-|popьrati|||||||51_abl|1|||trample on|||||orv
вратити|вратити|V-|vortiti|||||||40|1|||turn around|||||orv
растръгнѫти|растъргнути|V-|orstr̥gnǫti|||||||21|1|||tear apart, rip up, zerreißen|||||orv
тлѣщи|тлѣщи|V-|telћi|telkti||||tĺ̥k|telk|14|1|||knock|||||orv
отврѣсти||V-|otversti|||||otvŕ̥z|otverz|14|1||||||||
обрѣтати|обрѣтати|V-|obrětati|||||||54|1||||||||orv
отврьзати||V-|otvŕ̥zati|||||||54|1||||||||
еда|еда|Du|jeda||||||||0|||interrogative particle: 'd'you really', разве|||||orv
камꙑ|камы|Nb|kamy|||||||masc_N|2||||||||orv
рꙑба|рыба|Nb|ryba|||||||fem_a|2||||||||orv
змиꙗ|змия|Nb|zmьjǢ|||||||fem_ja|2||||||||orv
лѫкавьнъ||A-|lǫkavьnъ|||||||adj_hard|2|||sly, treacherous, crafty, perfidious|||||
оумѣти|умѣти|V-|uměti|||||||32|1||||||||orv
даꙗниѥ|даяние|Nb|dajǢnьje|||||||nt_jo|2||||||||orv
чѧдо|чадо|Nb|čędo|||||||nt_o|2||||||||orv
ѥлико|елико|Pr|jeliko||||||||0|||which, to which extent, however [much], in whichever way, however, whatever|||||orv
пророкъ|пророкъ|Nb|prorokъ|||||||masc_o|2||||||||orv
ѫзъкъ|узъкыи|A-|ǫzъkъ|||||||adj_hard|2|||narrow|||||orv
врата|врата|Nb|vorto|||||||nt_o|2|||gate[s]|||||orv
пространъ||A-|prostornъ|||||||adj_hard|2|||wide, spacious|||||
широкъ|широкыи|A-|širokъ|||||||adj_hard|2||||||||orv
пагоуба|пагуба|Nb|paguba|||||||fem_a|2|||destruction, ruin, death, doom, disaster|||||orv
въходити|въходити|V-|vъxoditi|||||||40|1||||||||orv
коль|коль|Du|kolь||||||||0|||how [much], oh how [big etc.]|||||orv
тѣснъ||A-|těsnъ|||||||adj_hard|2||||a jer is often inserted later on the patter of adjectives in -ьn-, e.g. Bg. тесън (which should be тясън, so the epenthetic jer may have originally been palatalising)||||
мало|мало|Df|malo||||||||0||||||||orv
лъжь|лъжии|A-|lъžь|||||||adj_soft|2|||false, lying|||||orv
приходити|приходити|V-|prixoditi|||||||40|1||||||||orv
овьчь||A-|ovьčь|||||||adj_soft|2||||||||
вънѫтрь|вънутрь|Df|vъnǫtrь||||||||0||||||||orv
влькъ|вълкъ|Nb|vĺ̥kъ|||||||masc_o|2|||wolf|||||orv
хꙑщьникъ|хыщьникъ|Nb|xyћьnikъ|xytjьnikъ||||||masc_o|2|||predator|||||orv
познати|познати|V-|poznati|||||||54|1||||||||orv
обимати|обимати|V-|obьmati|||||||52_abl|1|||gather, get|||||orv
трьниѥ|тьрние|Nb|tŕ̥nьje|||||||nt_jo|2|||brambles, thorns|||||orv
грознъ||Nb|groznъ|||||||masc_o|2|||bunch of grapes|this is arguably just a spelling of *grozdъ by someone with a blocked nose||||
рѣпиѥ||Nb|rěpьje|||||||nt_jo|2|||burdock|||||
смокꙑ||Nb|smoky|||||||fem_uu|2|||fig|||||
дрѣво|дерево|Nb|dervo|||||||nt_S|2||||||||orv
посѣкати|посѣкати|V-|posěkati|||||||54|1||||||||orv
въмѣтати||V-|vъmětati|||||||54|1||||||||
пророчьствовати|пророчьствовати|V-|proročьstvovati|||||||61|1||||||||orv
бѣсъ|бѣсъ|Nb|běsъ|||||||masc_o|2||||||||orv
исповѣдѣти|исповѣдѣти|V-|jьspověděti|||||||wote|1|||tell, inform, confess|||||orv
николиже|николиже|Df|nikoliže||||||||0|||never|||||orv
знати|знати|V-|znati|||||||54|1||||||||orv
дѣлати|дѣлати|V-|dělati|||||||54|1||||||||orv
безакониѥ|безаконие|Nb|bezakonьje|||||||nt_jo|2||||||||orv
мѫдръ|мудрыи|A-|mǫdrъ|||||||adj_hard|2||||||||orv
съзьдати|съзьдати|V-|sъzьdati|||||||52_abl|1||||zьdati: zidjǫ, zidješi, zero-grade infin, legnthened zero-grade pres. with -j- in present||||orv
храмина|храмина|Nb|xormina|||||||fem_a|2||||||||orv
сънити|сънити|V-|sъnjьti|||||||jьti|1||||||||orv
дъждь|дъждь|Nb|dъžђь|dъzdjь||||||masc_jo|2||||Derksen p.151 assumes dъzdjь based on Sanskrit durdina- < *dus-di-n(-o) and the etymologies of Vaillant and Trubetzkoy (жаман ауа-райы); essja p.195-7 considers also the possibility of dъzgjь based on Lit. duzgeti ('make noise') (Brückner), then there's some bollocks about Norwegian/Swedish meaning 'rain-shower' (dusk-regn???)||||orv
рѣка|рѣка|Nb|rěka|||||||fem_a|2||||||||orv
възвѣꙗти|възвѣяти|V-|vъzvějǢti|||||||53|1|||to blow, whip up (wind)|||||orv
вѣтръ|вѣтръ|Nb|větrъ|||||||masc_o|2||||||||orv
напасти|напасти|V-|napasti|||||napad|napad|11|1||||||||orv
основати|основати|V-|osnovati|||||||61|1||||Diels seems to think this verb in class 5.1, where dict. has it as class 6.||||orv
боуи||A-|bujь|||||||adj_soft|2|||foolish, idiotic|||||
пѣсъкъ|пѣсъкъ|Nb|pěsъkъ|||||||masc_o|2|||sand|||||orv
опрѣти||V-|operti|||||opьr|oper|13|1|||plus ⱄⱔ = leant againt, rested/supported itself against (+ LOC)|apparently the form with опьрⱑ- has an i-conjugation (small dictionary p.415), suggesting that it is a Neubildung, but searching TOROT (very unreliable) gives nothing so this appears to be raw bullshit||||
раздроушениѥ||Nb|orzrušenьje|||||||nt_jo|2||||||||
велии|велии|A-|velьjь|||||||adj_ij|2||||||||orv
съконьчати|съконьчати|V-|sъkonьčǢti|||||||54|1||||||||orv
дивити|дивити|V-|diviti|||||||40|1|||plus ⱄⱔ = to marvel |||||orv
власть|волость|Nb|volstь|||||||fem_i|2||||||||orv
кънижьникъ|кънижьникъ|Nb|kъńižьnikъ|kъnjižьnikъ||||||masc_o|2|7|||||||orv
фарисеи||Nb|farisejь||||farisějь|||masc_jo_foreign|2|25|W||||Φαρισαῖος||
гора|гора|Nb|gora|||||||fem_a|2||||||||orv
слѣдъ|слѣдъ|Nb|slědъ|||||||masc_o|2||||||||orv
прокаженъ|прокаженыи|A-|prokaženъ|||||||adj_hard|2|||a leper|||||orv
пристѫпити|приступити|V-|pristǫpiti|||||||40|1||||||||orv
кланꙗти|кланяти|V-|klańǢti|klanjǢti||||||54|1||||||||orv
ищистити||V-|jьščistiti|||||||40|1||||pre-PV1 jьskistiti with /ski/ > /šči/ (> OCS шт)||||
прострѣти|простерети|V-|prosterti|||||proster|prostьr|13|1||||zero-grade in pres., imper. and past act. participle, e-grade in infin. We have to assume that the original PIE syllabic liquid first became /ьr/, as here, then only if in a closed syllable (with a following consonant) did /ьr/ become /ŕ̥/.||||orv
коснѫти|коснути|V-|kosnǫti|||||||22|1||||||||orv
абиѥ|абие|Df|abьje||||||||0|||immediately|||||orv
проказа|проказа|Nb|prokaza|||||||fem_a|2||| leprosy|||||orv
никътоже|никътоже|Px|nikъtože|||||||kъtože|2||||||||orv
повѣдѣти|повѣдѣти|V-|pověděti|||||||wote|1||||||||orv
показати|показати|V-|pokazati|||||||52|1||||||||orv
архиереи|архиереи|Nb|arъx́ijerejь|||||||masc_jo_foreign|2|2|W||||ἀρχιερεῖ||orv
нести|нести|V-|nesti|||||nes|nes|11|1||||||||orv
моси||Ne|mosijь||||mosejь|||masc_jo_foreign|2|25|W|Moses|||Μωϋσῆς||
съвѣдѣниѥ|съвѣдѣние|Nb|sъvěděnьje|||||||nt_jo|2|||testimony|||||orv
каперънаоумъ||Ne|kaperъnaumъ||||kaferъnaumъ|||masc_o|2|25|W||||Καφαρναοὺμ||
сътьникъ|сътьникъ|Nb|sъtьnikъ|||||||masc_o|2|||centurion|||||orv
отрокъ|отрокъ|Nb|otrokъ|||||||masc_o|2|||boy; knave, servant|||||orv
лежати|лежати|V-|ležǢti|||||ležǢ|lež|31|1||||||||orv
ослабити|ослабити|V-|oslabiti|||||||40|1||||||||orv
лютѣ|лютѣ|Df|ĺutě|ljutě|||||||0|||severely, harshly, frightfully, a lot, somethin' fierce|||||orv
страдати|страдати|V-|stradati|||||||52|1|||to suffer/be in pain|||||orv
ицѣлити|исцѣлити|V-|jьskěliti|||jьscěliti||||40|1||||||||orv
ицѣлѣти||V-|jьskělěti|||jьscělěti||||32|1|||recover, heal, get better|||||
ибо|ибо|Df|ibo||||||||0|||after all, because|||||orv
воинъ|воинъ|Nb|vojьnъ|||||||masc_o|2|||soldier, warrior|||||orv
грѧсти|грясти|V-|gręsti|||||gręd|gręd|11|1||||||||orv
толикъ||Pd|tolikъ|||||||pron_hard|2|||such, so much (distal)|||||
въстокъ|въстокъ|Nb|vъstokъ|||||||masc_o|2||||||||orv
западъ|западъ|Nb|zapadъ|||||||masc_o|2||||||||orv
възлещи|възлещи|V-|vъzleћi|vъzlegti|||||vъzleg|infix_11|1|||recline, sit down to eat|||||orv
авраамъ|авраамъ|Ne|avraamъ|||||||masc_o|2|25|W||||Ἀβραὰμ||orv
исаакъ||Ne|isaakъ|||||||masc_o|2|25|W||||Ἰσαὰκ||
кромѣщьнии||A-|kroměšьńь|kroměšьnjǫjǫ||||||adj_soft|2|||outer, outside|I can't explain the variants with /št/, apart from a guess that the dental articulation of the /ń/ has infected the /š/, cf. Eng. 'prince' [prinʔs] (as the weak jer is fallen), Mar. вѣщьнии, домащьнии||||
плачь|плачь|Nb|plačь|||||||masc_i|2|||crying|||||orv
скрьжьтъ||Nb|skrьžьtъ|||||||masc_o|2|||gnashing|lack of syllabic ŕ̥ is based on Russian скрежет ||||
вѣровати|вѣровати|V-|věrovati|||||||61|1||||||||orv
възвратити|възворотити|V-|vъzvortiti|||||||40|1||||||||orv
съдравъ|съдравыи|A-|sъdorvъ|||||||adj_hard|2||||||||orv
петровъ|петровъ|A-|petrovъ|||||||adj_hard|2|2|||||Πέτρου||orv
тъща|тьща|Nb|tьščǢ|||||||fem_ja|2|||mother-in-law|cf. Ru. тёща, Mac. тешта  ||||orv
жещи|жечи|V-|žeћi|žegti||||žьg|žeg|11|1||||the pres. tense becomes zero-grade in russian (and apparently once in  Suprasliensis, dict. p.216) ||||orv
прикоснѫти|прикоснути|V-|prikosnǫti|||||prikos|prikosn|22|1||||||||orv
въстати|въстати|V-|vъstati|||||vъsta|vъstan|stati|1||||||||orv
слоужити|служити|V-|služiti|||||||40|1||||||||orv
поздѣ|поздѣ|Df|pozdě||||||||0||||||||orv
бѣсьнъ|бѣсьныи|A-|běsьnъ|||||||adj_hard|2||||||||orv
нeдѫжьнъ|недужьныи|A-|nedǫžьnъ|||||||adj_hard|2|||ill, sick; disease-causing|||||orv
събꙑти|събыти|V-|sъbyti|||||||pref_byti|1||||||||orv
исаиꙗ|исаия|Ne|isajijǢ|||||||masc_ja|2|25|W||||Ἠσαΐου||orv
недѫгъ|недугъ|Nb|nedǫgъ|||||||masc_o|2|||disease|||||orv
болѣзнь|болѣзнь|Nb|bolěznь|||||||fem_i|2||||||||orv
понести|понести|V-|ponesti|||||pones|pones|11|1||||||||orv
окрьстъ|окрьстъ|R-|okrьstъ||||okrьstь||||0|12||around, in the surrounding area, gathered around near|cf. Ru. окрест; essja 13 p.76 says the *krьstъ root (assuming that such is the basis of the preposition) was borrowed from the OHG '(или гот.?)' word for Christ (e.g. Otfrid 'Krist'). Dict. lists variants ending on both jers; front jer is the rule in Supr. so I give it as a doublet||||orv
полъ#2|полъ#2|Nb|polъ|||||||masc_u|2||||||||orv
ѥдинъ||Px|jedinъ||||jedьn|||pron_hard|2||||||||
оучитель|учитель|Nb|učiteĺь|učiteljь||||||masc_tel|2||||||||orv
ꙗможе|аможе|Dq|amože||||||||0|||куда, whither|ⱑⰿⱁ appears also in тамо, сѣмо, Cz. kam, OCS камо (essja09 p.137), essja01 p.71 lists OPol. jamo,  OCz jam, Bg/Mc dial. амо, so I'm reconstructing it as plain /a-/ with dialectal j-prothesis. Сѣмо could be explained as śǢmo if it were from /śь/ + /-amo/, but сь is reconstructed (e.g. Derksen p.484) as < PIE *ḱi, which would not be a Common Slavic palatalised consonant. See van Wijk 1927 p.13-15|1|||orv
лисъ|лисъ|Nb|lisъ|||||||masc_o|2|||fox|||||orv
ꙗзвина||Nb|jǢzvina|||||||fem_a|2|||den, burrow|Reconstructed as initial /ě-/ by Derksen p.166 based on among others Cz jizva, Latvian aiza (crack), Old Prussian eyswo (wound).||||
гнѣздо|гнѣздо|Nb|gnězdo|||||||nt_o|2||||||||orv
къде||Du|kъde||||||||0||||||||
подъклонити||V-|podъkloniti|||||||40|1||||||||
погрети|погрети|V-|pogreti|||||pogreb|pogreb|11|1|||to bury, похоронить, begraben|||||orv
мрьтвъ|мьртвыи|A-|mŕ̥tvъ|||||||adj_hard|2||||||||orv
мрьтвьць|мьртвьць|Nb|mŕ̥tvьkь||mŕ̥tvьkъ|mŕ̥tvьcь||||masc_o_PV3|2||||||||orv
корабль|корабль|Nb|korabĺь|korabjь||||||masc_jo|2|2|||This word must've been borrowed when CS /o,a/ were still separated by quantity rather than quality as /ă ā/, similar to товар (< Turkic. *tawar, Kaz. тауар, Turkish. davar 'livestock'), with the stressed Greek /a/ heard as long.||καράβιον||orv
трѫсъ|трусъ|Nb|trǫsъ|||||||masc_o|2|||earthquake, землетрясение|Ukr. has cognate землетрус, Bg. has тръс 'trot'||||orv
морѥ|море|Nb|moŕe|morje||||||nt_jo|2||||||||orv
покрꙑвати|покрывати|V-|pokryvati|||||||54|1||||||||orv
вльна|вълна|Nb|vĺ̥na|||||||fem_a|2|||wave|Derksen p.537 (based mostly on Baltic)||||orv
възбоудити|възбудити|V-|vъzbuditi|||||||40|1||||||||orv
страшивъ||A-|strašivъ|||||||adj_hard|2|||frightened, scared, испуганный|||||
запрѣтити|запрѣтити|V-|zapertiti|||||||40|1|||to command, give orders to; threaten|||||orv
тишина|тишина|Nb|tišina|||||||fem_a|2||||||||orv
чоудити|чудити|V-|čuditi|||||||40|1|||(with ⱄⱑ) be surprised, be stunned, marvel|||||orv
послоушати|послушати|V-|poslušǢti|||||poslušǢ|poslušǢj|54|1||||||||orv
страна|сторона|Nb|storna|||||||fem_a|2||||||||orv
геръгесиньскъ||A-|ǵerъǵesinьskъ|||||||adj_hard|2|2|W||the first back jer is pure conjecture on the part of the dictionary||Γέργεσα||
сърѣсти|сърѣсти|V-|sъrěsti|||||sъrět|sъrět|rěsti|1||||||||orv
жаль|жаль|Nb|žǢlь|||||||fem_i|2|||grave, tomb|||||orv
исходити|исходити|V-|jьsxoditi|||||||40|1||||||||orv
възъпити|възъпити|V-|vъzъpiti|||||vъzъpi|vъzъpьj|17|1|||cry out, shout, yell|||||orv
сѣмо|сѣмо|Df|sěmo||||||||0|||to here, сюда|The ⱑⰿⱁ appears also in тамо, ѣмо, Cz. kam, OCS камо (essja09 p.137), essja01 p.71 lists OPol. jamo,  OCz jam, Bg/Mc dial. амо, so I reconstruct ⱑⰿⱁ as plain /a-/ with dialectal j-prothesis. Сѣмо could be explained as śǢmo if it were from /śь/ + /-amo/, but сь is reconstructed (e.g. Derksen p.484) as < PIE *ḱi, which would not be a Common Slavic palatalised consonant. ⱄⱑⰿⱁ doesn't appear as сямо anywhere, which leaves us no choice but to reconstruct sěmo, but this may be because in the Cyr. manuscripts it was no longer actively used (dict p.679 lists it as appearing in Zog. and Sav. only in the phrase сѣмо и онамо), and is thus just a literary form taken over in its Urkirchenslavisch guise. Van Wijk has discussion along similar lines in van Wijk 1927 p.13.|1|||orv
мѫчити|мучити|V-|mǫčiti|||||||40|1||||||||orv
далече|далече|Df|daleče||||||||0||||||||orv
пасти#2|пасти#2|V-|pasti|||||pas|pas|11|1|||herd, shepherd, look after as a farmer|||||orv
свинъ|свиныи|A-|svinъ|||||||adj_hard|2||||||||orv
оустрьмити|устрьмити|V-|ustrьmiti|||||||40|1|||(with ⱄⱔ) rushed, dashed|The Russian устремить pushes us in the direction of reconstructing -rь- rather than -ŕ̥-; that the jer is often wrong in OCS is expected where /rь, rъ/ > /r̥/ (cf. Macedonian крст 'cross')||||orv
брѣгъ|брѣгъ|Nb|bergъ|||||||masc_o|2||||||||orv
оутонѫти||V-|utopnǫti|||||||21|1|||drown, sink|||||
бѣжати|бѣжати|V-|běžǢti|||||||31|1||||||||orv
възвѣстити|възвѣстити|V-|vъzvěstiti|||||||40|1|||сообщить, рассказать, inform, announce, tell about|||||orv
противѫ|противу|R-|protivǫ||||||||0|||towards, gegen, навстречу|||||orv
прѣити|переити|V-|per+jьti|||||||jьti|1||||||||orv
прѣдѣлъ|прѣдѣлъ|Nb|perdělъ|||||||masc_o|2|||border, frontier|||||orv
прѣꙗхати||V-|per+jǢxati|||||||jaxati|1||||||||
жила|жила|Nb|žila|||||||fem_a|2||||||||orv
одръ|одръ|Nb|odrъ|||||||masc_o|2|||bed, stretcher|||||orv
дрьзати|дьрзати|V-|dŕ̥zati|||||||54|1|||be brave, have a pop, dare to|||||orv
власвимлꙗти||V-|vlasvimĺǢti|vlasvimjǢti||||||54|1|2||blaspheme|||βλασφημει̃ν||
въскѫѭ|въскую|Du|vъskǫjǫ||||||||0|||why, what for, зачем, how come|||||orv
оудобь||A-|udoběje||||||||0|||easier|||||
ходити|ходити|V-|xoditi|||||||40|1||||||||orv
оувѣдѣти|увѣдѣти|V-|uvěděti|||||||wote|1|||will know, will see|||||orv
прѣходити|переходити|V-|perxoditi|||||||40|1||||||||orv
отътѫдоу|отътуду|Df|otъtǫdu||||||||0|||from there|||||orv
мꙑтьница||Nb|mytьnika|||mytьnica||||fem_a_PV3|2|1||toll-booth, tax-collecting station|This is most likely a Gothic loanword because the /t/ in Goth. mōta 'custom house, toll booth' would be /d/ in Slavic, but problems arise when considering the OHG mūta > NHG Maut, as we would expect PGmc. /ō/ here to go /uo/ > NHG /ū/. Kluge 1891 thinks it likely that the OHG is a post 2SS Gothic loan, but gives MHG muoze with the same meaning which would be a perfect cognate to the Gothic. Other Gothic loans into Slavic have Goth. /ō/ > CS *u (Go. dōms > CS *duma), so if this word is also from Gothic it would've had to have been borrowed at a much earlier time, before the monophthongisation of diphthongs, when CS *y was still ECS *ū. ||Gothic mōta 'customs house', mōtareis 'toll-taker' (borrowed into ECS)||
сѣдѣти|сѣдѣти|V-|sěděti|||||||31|1||||||||orv
матътeи||Ne|matъtejь|||||||masc_jo_foreign|2|25|W||||Μαθθαῖον||
възлежати|възлежати|V-|vъzležǢti|||||||31|1|||sit at the table (eating/to eat)|||||orv
врачь|врачь|Nb|vьračь|||||||masc_ju|2|||||1|||orv
болѣти|болѣти|V-|bolěti|||||||31|1||||||||orv
жрьтва|жьртва|Nb|žŕ̥tva|||||||fem_a|2||||||||orv
правьдьникъ|правьдьникъ|Nb|pravьdьnikъ|||||||masc_o|2|||righteous one|||||orv
иоановъ||A-|ijoanovъ|||||||adj_hard|2|25|W||||Ἰωάννης||
мъного|мъного|Df|mъnogo||||||||0||||||||orv
брачьнъ||A-|bьračьnъ|||||||adj_hard|2||||ESSJa 03 p.160-1 takes this a derivative of *bьrati, but mentions a list of others who derive it from *borkъ. The word only exists in modern Russian and South Slavic so there is no evidence for or against a TorT-group, and the word does not occur in the Kiev Folia so it's plausible that all the occurences in OCS are spelt without a jer in accordance with their phonological systems. We expect jers for Urkirchenslavisch, however, so that there are no attestations of бьракъ is a problem for ESSJa's derivation|1|||
плакати#2|плакати|V-|plakati|||||||52|1|||wash, cleanse|||||orv
женихъ|женихъ|Nb|ženixъ|||||||masc_o|2|||bridegroom|||||orv
ѥгдаже||Dq|jegъdaže||||||||0|||when or if; wenn|||||
приставлꙗти||V-|pristavĺǢti|pristavjǢti||||||54|1||||||||
приставлѥниѥ||Nb|pristavĺenьje|pristavjenьje||||||nt_jo|2||||||||
платъ|платъ|Nb|poltъ|||||||masc_o|2|||cloth|||||orv
бѣлити||V-|běliti|||||||40|1||||||||
ветъхъ|ветъхыи|A-|vetъxъ|||||||adj_hard|2||||Direct cognate with Latin vetus (Derksen p.517)||||orv
коньчина|коньчина|Nb|konьčina|||||||fem_a|2|||outcome, end result|||||orv
дира||Nb|dira|||||||fem_a|2|||hole|||||
възливати|възливати|V-|vъzlivati|||||||54|1||||||||orv
новъ|новыи|A-|novъ|||||||adj_hard|2||||||||orv
мѣхъ|мѣхъ|Nb|měxъ|||||||masc_o|2|||[water]skin, [wine]skin (bag for holding liquid)|||||orv
просѣсти||V-|prosěsti||||||prosěd|infix_11|1||||||||
пролиꙗти|пролияти|V-|prolьjǢti|||||||53_abl|1||||||||orv
въливати|въливати|V-|vъlivati|||||||54|1||||||||orv
дъщи|дъщи|Nb|dъћi|dъkti||||||fem_R|2||||||||orv
оумрѣти|умерети|V-|umerti|||||umer|umьr|13|1||||In order to explain ⱆⰿⱃⱑ, ⱆⰿⱃⱑⱅⱏ (which we can't consider to have been original root-aorists < *mere, levelled on the newly metathesised infinitive stem < *merti, because root-aorists never appear on sonorant-stemmed verbs (Diels p.238), and because such a late analogical levelling would surely have left traces e.g. *ⱆⰿⰵⱃⰵ in the oldest documents) we have to do as Olander (2014: 318, 330 and throughout) implicitly does and accept the CS form *umer as regular, and state the traditional TOROT rule as affecting syllable-final, rather than pre-consonantal, liquids. ||||orv
възложити|възложити|V-|vъzložiti|||||||40|1||||||||orv
ожити|ожити|V-|ožiti|||||oži|oživ|11|1|||come back to life|||||orv
кръвоточивъ||A-|krъvotočivъ|||||||adj_hard|2||||||||
десѧть|десять|Ma|desętь|||||||ten|2||||||||orv
зади|зади|Df|zadi||||||||0|||at the back, behind|||||orv
въскрилиѥ||Nb|vъskridlьje|||||||nt_jo|2|||the hem|||||
кънѧжь||A-|kъnęžь|||||||adj_soft|2|1||prince's|||Gmc. *kuningaz, probably Gothic||
сопьць||Nb|sopьkь||sopьkъ|sopьcь||||masc_o_PV3|2|||pipe-player|||||
млъвити|мълвити|V-|ml̥viti|||||||40|1|||make noise, make a hubbub, become disquietened|||||orv
дѣвица|дѣвица|Nb|děvika|||děvica||||fem_a_PV3|2||||||||orv
рѫгати|ругати|V-|rǫgati|||||||54|1|||(with sę) make fun of, mock, take the piss out of|||||orv
ѩти|яти|V-|jęti|||||ję|jьm|12|1||||||||orv
