chu_lemma|orv_lemma|pos|count|lcs_lemma|pre_jot|morph_replace|PV2/3|doublet|stem1|stem2|conj_type|noun_verb|loan_place|non_assim|eng_trans|etym_disc|bad_etym|loan_source|clitic|automatched|chrabr|euch|kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|bitflag
боурꙗ||Nb|18|buŕǢ|burjǢ||||||fem_ja|2|||storm|||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|378
посѣтити||V-|18|posětiti|||||||40|1|||visit|||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|314
агньць||Nb|18|agnьkь||agnьkъ|agnьcь||||masc_o_PV3|2||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|314
зълодѣи||Nb|18|zъlodějь|||||||masc_jo|2|||evil-doer, malefactor|||||0||euch||marianus||supr_y_fixed|||zogr_complete|298
избавлѥниѥ||Nb|18|jьzbavĺenьje|jьzbavjenьje||||||nt_jo|2||||||||0|||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|316
бѣлъ||A-|18|bělъ|||||||adj_hard|2||||||||0||||marianus||supr_y_fixed|vit-const||zogr_complete|360
дъждь||Nb|18|dъžђь|dъzdjь||||||masc_jo|2||||Derksen p.151 assumes dъzdjь based on Sanskrit durdina- < *dus-di-n(-o) and the etymologies of Vaillant and Trubetzkoy (жаман ауа-райы); essja p.195-7 considers also the possibility of dъzgjь based on Lit. duzgeti ('make noise') (Brückner), then there's some bollocks about Norwegian/Swedish meaning 'rain-shower' (dusk-regn???)||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
напасти||V-|18|napasti|||||napad|napad|11|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
нести||V-|18|nesti|||||nes|nes|11|1||||||||0||||marianus||supr_y_fixed||vit-meth_4_removed|zogr_complete|424
брѣгъ||Nb|18|bergъ|||||||masc_o|2||||||||0||||marianus||supr_y_fixed|||zogr_complete|296
дрьзати||V-|18|dŕ̥zati|||||||54|1|||be brave, have a pop, dare to|||||0||||marianus||supr_y_fixed|||zogr_complete|296
пролиꙗти||V-|18|prolьjǢti|||||||53_abl|1||||||||0||||marianus||supr_y_fixed|||zogr_complete|296
милосрьдовати||V-|18|milosŕ̥dovati|||||||61|1|||take pity on, soften in one's heart about|||||0||||marianus||supr_y_fixed|||zogr_complete|296
голѫбь||Nb|18|golǫbь|||||||masc_i|2|||dove, pigeon|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
власвимиꙗ||Nb|18|vlasvimijǢ|||||||fem_ja|2|2|W|blasphemy|||βλασφημία||0||||marianus|||||zogr_complete|264
польѕа||Nb|18|polьga|||polьʒa||||fem_a_PV3|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
стлъпъ||Nb|18|stl̥pъ|||||||masc_o|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
крило||Nb|18|kridlo|||||||nt_o|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
назарѣнинъ||Nb|18|nazarěninъ||||nazarějǢninъ|||masc_anin|2|25|||it's very difficult to tell in Glagolitic mss. with foreign words ending on /r, l, n/ whether the 'citizen' suffix is *-jǢninъ or *-ěninъ; Russian славянин must be a later assimilation of *slověninъ to a generalised /-anin/ suffix after the rise of /v'/ and *Ǣ > /a/, because there's no epenthetic /ĺ/, so we should perhaps take *-ěninъ as the base suffix which regularly became *-Ǣninъ when a /j/ intervened, as in *gorђǢninъ etc.||Ναζωραίου||0||||marianus||supr_y_fixed|||zogr_complete|296
оутро||Nb|18|utro|||||||nt_o|2||||I disagree with ESSJa 8 p.200-1 and think it most likely that this is cognate with Eng. 'East' < *aust-, and therefore originally unjotated. Getting rid of the /s/ is a problem. Derksen p. 510-11 has more discussion in support of my view. ||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
раздьрати||V-|18|orzdьrati|||||||51_abl|1||||||||0||||marianus||supr_y_fixed|||zogr_complete|296
благоволити||V-|18|bolgovoliti|||||||40|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
вънезаапѫ||Df|18|vъnezaapǫ||||||||0||||vъ ne za apǫ; attest also are вънезаꙗпѫ (Old Rus.) and вънезаѣпѫ; Vasmer reconstructs the root of the *apa word with no original /j/|1|||0||||marianus|psal-sin_sentence_removed|supr_y_fixed||vit-meth_4_removed|zogr_complete|440
безаконьникъ||Nb|18|bezakonьnikъ|||||||masc_o|2|||law-breaker, criminal|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
врѣдити||V-|18|verditi|||||||40|1||||||||0||||marianus||supr_y_fixed|vit-const||zogr_complete|360
годъ||Nb|18|godъ|||||||masc_o|2||||||||0||||marianus||supr_y_fixed|||zogr_complete|296
благовѣстити||V-|18|bolgověstiti|||||||40|1|||tell the good news to|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
изнемощи||V-|18|jьznemoћi|jьznemogti||||jьznemog|jьznemog|11|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
рогъ||Nb|18|rogъ|||||||masc_o|2|||horn|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
обличати||V-|18|obličǢti|||||||54|1||||||||0||||marianus||supr_y_fixed|||zogr_complete|296
вьсѫдоу||Df|18|vьxǫdu|||vьśǫdu|||||0|||everywhere|||||0||||marianus||supr_y_fixed|||zogr_complete|296
отъмѣтати||V-|18|otъmětati|||||||54|1||||Bg. мятам vs Ukr. метати, Pol. miotać suggests that both *metati and *mětati existed in CS||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
привлѣщи||V-|18|privelћi|||||privĺ̥k|privelk|15|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
поминати||V-|18|pominati|||||||54|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed||vit-meth_4_removed|zogr_complete|440
живити||V-|18|živiti|||||||40|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
оумрьтвити||V-|18|umŕ̥tviti|||||||40|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
подвигъ||Nb|18|podvigъ|||||||masc_o|2||||||||0||||marianus||supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|488
оукрѣпити||V-|18|ukrěpiti|||||||40|1||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
истьлѣниѥ||Nb|18|jьstьlěnьje|||||||nt_jo|2||||||||0|||||psal-sin_sentence_removed|supr_y_fixed|vit-const|||112
брати||V-|18|borti|||||bor|bor|16|1||||||||0|||||psal-sin_sentence_removed|supr_y_fixed|vit-const|||112
насладити||V-|18|nasolditi|||||||40|1|||sweeten|||||0|||||psal-sin_sentence_removed|supr_y_fixed|vit-const|||112
ти|ти|Df|18|ti||||||||0||||||||1|||||psal-sin_sentence_removed|supr_y_fixed||||48
ѥдьноѭ||Df|18|jedьnojǫ||||jedinojǫ||||0||||||||0|||||psal-sin_sentence_removed|supr_y_fixed|vit-const|||112
прѣисподьнь||A-|18|per+jьspodьńь|per+jьspodьnjь||||||adj_soft|2||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
прѣславьнъ||A-|18|perslavьnъ|||||||adj_hard|2||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
оуморити||V-|18|umoriti|||||||40|1||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
вьсꙗчьскъ||A-|18|vьxačьskъ|||vьśačьskъ||||adj_hard|2||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||vit-meth_4_removed||176
иоулиꙗни||Ne|18|||||||||99||||||||0||||||supr_y_fixed||||32
напрасно|напрасно|Df|18|naprasno||||||||0||||the OCS dictionaries list напраснъ with no jer, and the only jer attestation in TOROT is напрасен from Luka Koločskij||||1||||||supr_y_fixed||||32
камꙑкъ||Nb|18|||||||||99||||||||0||||||supr_y_fixed||||32
течениѥ||Nb|18|||||||||99||||||||0||||||supr_y_fixed||vit-meth_4_removed|zogr_complete|416
чловѣколюбиѥ||Nb|18|||||||||99||||||||0||||||supr_y_fixed|vit-const|||96
сковрада||Nb|18|||||||||99||||||||0||||||supr_y_fixed||||32
попъ||Nb|18|||||||||99||||||||0||||||supr_y_fixed||vit-meth_4_removed||160
грьчьскъ|грьчьскыи|A-|17|grьčьskъ|||||||adj_hard|2||||||||1|chrabr|||||supr_y_fixed|vit-const|vit-meth_4_removed||225
оуставъ||Nb|17|||||||||99||||||||0|chrabr|||||supr_y_fixed||||33
елинъ||Nb|17|elinъ|||||||masc_o|2|2||Greek (person)|||Ἕλλην ||0|chrabr|||marianus||supr_y_fixed|vit-const|||105
насадити||V-|17|nasaditi|||||||40|1||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|378
дѣтѣль||Nb|17|dětělь|||||||fem_i|2|||deed, action|||||0||euch||||supr_y_fixed|vit-const|vit-meth_4_removed||226
очищениѥ||Nb|17|očišћenьje|očistjenьje||||||nt_jo|2||||||||0|||kiev-mis|marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|380
отънѫдь||Df|17|otъnǫdь||||||||0|||at all, [+ negation]=by no means, under no circumstances|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
ꙗможе||Dq|17|amože||||||||0|||куда, whither|ⱑⰿⱁ appears also in тамо, сѣмо, Cz. kam, OCS камо (essja09 p.137), essja01 p.71 lists OPol. jamo,  OCz jam, Bg/Mc dial. амо, so I'm reconstructing it as plain /a-/ with dialectal j-prothesis. Сѣмо could be explained as śǢmo if it were from /śь/ + /-amo/, but сь is reconstructed (e.g. Derksen p.484) as < PIE *ḱi, which would not be a Common Slavic palatalised consonant. See van Wijk 1927 p.13-15|1|||0||||marianus|||vit-const||zogr_complete|328
самарѣнинъ||Nb|17|samarěninъ|||||||masc_anin|2|25||of the Samaritans|it's very difficult to tell with foreign words ending on /r, l, n/ whether the 'citizen' suffix is *-jǢninъ or *-ěninъ; Russian славянин must be a later assimilation of *slověninъ to a generalised *-aninъ suffix after the rise of /v'/, because there's no epenthetic /ĺ/, so *-ěninъ must have been the base suffix which became *-Ǣninъ when a /j/ intervened, as in *gorђǢninъ etc.||Σαμαριτος||0||||marianus||supr_y_fixed|vit-const||zogr_complete|360
износити||V-|17|jьznositi|||||||40|1||||||||0||||marianus||supr_y_fixed|vit-const||zogr_complete|360
плѣвелъ||Nb|17|pelvelъ|||||||masc_o|2|||weed|Vasmer gives Ru. половел as the original East. Slavic form; this is just a variant of above *pelva 'chaff'||||0||||marianus|||||zogr_complete|264
оукроухъ||Nb|17|ukruxъ|||||||masc_o|2|||crumb|||||0||||marianus||supr_y_fixed|||zogr_complete|296
въсоуѥ||Df|17|vъsuje||||||||0|||in vain|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
морьскъ||A-|17|moŕьskъ|morjьskъ||||||adj_hard|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
женити||V-|17|ženiti|||||||40|1||||||||0||||marianus||supr_y_fixed|||zogr_complete|296
скръбѣти||V-|17|skr̥běti|||||||31|1|||be sorrowed|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
равьнъ||A-|17|orvьnъ|||||||adj_hard|2||||||||0||||marianus||supr_y_fixed||vit-meth_4_removed|zogr_complete|424
негодовати||V-|17|negodovati|||||||61|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
послоужити||V-|17|poslužiti|||||||40|1||||||||0||||marianus||supr_y_fixed|||zogr_complete|296
привѧзати||V-|17|privęzati|||||||52|1||||||||0||||marianus||supr_y_fixed|||zogr_complete|296
осана||I-|17|osanъna||||||||0|25|W|hosanna ('hallelujah, rejoice')|||Ὡσαννὰ < Aramaic ܐܘܫܥܢܐ .||0||||marianus||supr_y_fixed|||zogr_complete|296
напьсаниѥ||Nb|17|napьsanьje|||||||nt_jo|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
тѧжькъ||A-|17|tęžьkъ|||||||adj_hard|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|||120
цѣлованиѥ||Nb|17|kělovanьje|||cělovanьje||||nt_jo|2||||||||0||||marianus||supr_y_fixed|vit-const||zogr_complete|360
оубѣжати||V-|17|uběžǢti|||||||31|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
алъкати||V-|17|olkati|||||||52|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
разити||V-|17|orzjьti|||||||jьti|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
облобꙑзати||V-|17|oblobyzati|||||||54|1|||kiss, kiss all over|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed||vit-meth_4_removed|zogr_complete|440
повиньнъ||A-|17|povinьnъ|||||||adj_hard|2||||||||0||||marianus||supr_y_fixed|||zogr_complete|296
излиха||Df|17|jьzlixa||||||||0|||even more, excessively|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
порѫгати||V-|17|porǫgati|||||||54|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
сълѣсти||V-|17|sъlěsti|||||sъlěz|sъlěz|11|1||||||||0||||marianus||supr_y_fixed|||zogr_complete|296
копиѥ||Nb|17|kopьje|||||||nt_jo|2|||spear|||||0||||marianus||supr_y_fixed|||zogr_complete|296
каꙗти||V-|17|kajǢti|||||||53|1|||(with сѧ) repent, seriously regret, feel very bad about sth.|||||0||||marianus||supr_y_fixed|||zogr_complete|296
мѧтежь||Nb|17|mętežь|||||||masc_jo|2|||worry, agitation, disquiet; rebellion|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed||vit-meth_4_removed|zogr_complete|440
прѣстоꙗти||V-|17|perstojǢti|||||||31|1||||||||0||||marianus||supr_y_fixed||vit-meth_4_removed|zogr_complete|424
подаꙗти||V-|17|podajǢti|||||||53|1||||||||0||||marianus||supr_y_fixed||||40
бездъна||Nb|17|bezdъna|||||||fem_a|2|||abyss, chasm|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
малꙑ||Df|17|maly||||||||0|||a bit, few, not much|this seems to be another fossilised Ipl. adjective acting as an adverb like грьчьскъі etc.||||0||||marianus||supr_y_fixed||vit-meth_4_removed|zogr_complete|424
мьсть||Nb|17|mьstь|||||||fem_i|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
прьси||Nb|17|pŕ̥sь|||||||fem_i|2|||(pl.) heart; chest|||||0||||marianus||supr_y_fixed|vit-const||zogr_complete|360
стрѣла||Nb|17|strěla|||||||fem_a|2||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
раздроушити||V-|17|orzrušiti|||||||40|1||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||vit-meth_4_removed||176
прибѣжище||Nb|17|priběžišče|||||||nt_jo|2||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
възирати||V-|17|vъzirati|||||||54|1||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
льстивъ||A-|17|lьstivъ|||||||adj_hard|2||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
немощь||Nb|17|nemoћь|nemogtь||||||fem_i|2||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
съставити||V-|17|sъstaviti|||||||40|1||||||||0|||||psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed||240
родьство||Nb|17|||||||||99||||||||0||||||supr_y_fixed|vit-const|||96
жьрьць||Nb|17|||||||||99||||||||0||||||supr_y_fixed||||32
отъгънати|отъгънати|V-|17|otъgъnati|||||||51_abl|1||||||||1||||||supr_y_fixed||||32
тъчьнъ|тъчьныи|A-|17|tъčьnъ|||||||adj_hard|2||||||||1||||||supr_y_fixed||||32
правовѣрьнъ|правовѣрьныи|A-|17|pravověrьnъ|||||||adj_hard|2||||||||1||||||supr_y_fixed||vit-meth_4_removed||160
приноудити||V-|17|||||||||99||||||||0||||||supr_y_fixed|vit-const|||96
константинь||A-|17|||||||||99||||||||0||||||supr_y_fixed||||32
чловѣколюбивъ||A-|17|||||||||99||||||||0||||||supr_y_fixed||||32
лавра||Nb|17|||||||||99||||||||0||||||supr_y_fixed||||32
блѫдьница||Nb|17|||||||||99||||||||0||||||supr_y_fixed||||32
чловѣколюбьць||Nb|16|čьlověkoĺubьkь|čьlověkoljubьkь|cьlověkoĺubьkъ|čьlověkoĺubьcь|čelověkoĺubьkь|||masc_o_PV3|2||||||||0|chrabr|euch||||supr_y_fixed||||35
оудобъ||A-|16|udobъ|||||||adj_hard|2||||||||0|chrabr|||marianus||supr_y_fixed|||zogr_complete|297
меѳодии||Ne|16|||||||||99||||||||0|chrabr||||||vit-const|vit-meth_4_removed||193
шесть десѧтъ||Ma|16|60||||||||0||||||||0|chrabr|||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|313
оугодити||V-|16|ugoditi|||||||40|1||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|506
съвѣдѣти||V-|16|sъvěděti|||||||wote|1||||||||0||euch||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|314
поимати||V-|16|pojьmati|||||||52_abl|1||||||||0||||marianus||supr_y_fixed|vit-const||zogr_complete|360
неприꙗзнь||Nb|16|neprijǢznь|||||||fem_i|2|||evil-doer, fiend (the Devil)|Derksen p.419-20 reconstructs *prijati for the verb, and in most modern languages the *pri- has preserved its full vowel, likely due to being viewed as a prefix, but Czech pŕaatele etc. shows that it could behave as a tense jer||||0||||marianus||supr_y_fixed||vit-meth_4_removed|zogr_complete|424
попьрище||Nb|16|popьrišče|||||||nt_jo|2|||mile, day's walking distance|||||0||||marianus||supr_y_fixed|||zogr_complete|296
лицемѣръ||Nb|16|likeměrъ|||liceměrъ||||masc_o|2|||hypocrite|||||0||||marianus|||||zogr_complete|264
чрьвь||Nb|16|čŕ̥vь|||||||fem_i|2|||worm, clothes moth|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
тать||Nb|16|tatь|||||||masc_i|2|||thief, robber|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
лоучии||A-|16|lučь|||||||adj_soft_comp|2|||better|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|504
попьрати||V-|16|popьrati|||||||51_abl|1|||trample on|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
вънѫтрь||Df|16|vъnǫtrь||||||||0||||||||0||||marianus||supr_y_fixed|vit-const||zogr_complete|360
въмѣтати||V-|16|vъmětati|||||||54|1||||Bg. мятам vs Ukr. метати, Pol. miotać suggests that both *metati and *mětati existed in CS||||0||||marianus|||||zogr_complete|264
боуи||A-|16|bujь|||||||adj_soft|2|||foolish, idiotic|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
проходити||V-|16|proxoditi|||||||40|1||||||||0||||marianus||supr_y_fixed|||zogr_complete|296
оправьдити||V-|16|opravьditi|||||||40|1||||||||0||||marianus|psal-sin_sentence_removed||||zogr_complete|280
древлѥ||Df|16|drevĺe|drevje|||||||0|||before, earlier, in the olden days, long ago|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
постигнѫти||V-|16|postignǫti|||||||21|1|||come, arrive, reach|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
прозѧбнѫти||V-|16|prozębnǫti|||||||21|1|||to sprout|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
съжещи||V-|16|sъžeћi|sъžegti||||sъžьg|sъžeg|11|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
съконьчаниѥ||Nb|16|sъkonьčǢnьje|||||||nt_jo|2||||||||0||||marianus||supr_y_fixed|||zogr_complete|296
оусѣкнѫти||V-|16|usěknǫti|||||||21|1|||enthaupten|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
прѣданиѥ||Nb|16|perdanьje|||||||nt_jo|2||||Dict. 535-6 lists nouns derived from both verbs прѣдаѣти and прѣдати, and we can't really tell in words like прѣдание whether we have the noun derived from the perfective verb, or a contracted /aa/ after loss of intervocalic jot. ||||0||||marianus||supr_y_fixed|||zogr_complete|296
падати||V-|16|padati|||||||54|1||||||||0||||marianus||supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|488
добрѣ||A-|16|dobrěje||||||||0||||||||0||||marianus||supr_y_fixed|||zogr_complete|296
ископати||V-|16|jьskopati|||||||54|1|||dig out|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
обѣдъ||Nb|16|obědъ|||||||masc_o|2||||||||0||||marianus||supr_y_fixed|vit-const||zogr_complete|360
осѫждениѥ||Nb|16|osǫђenьje|osǫdjenьje||||||nt_jo|2||||||||0||||marianus||supr_y_fixed|||zogr_complete|296
красьнъ||A-|16|krasьnъ|||||||adj_hard|2|||beautiful|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const|||120
поразити||V-|16|poraziti|||||||40|1|||strike, smite|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
тѫжити||V-|16|tǫžiti|||||||40|1|||be distressed|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
игемонъ||Nb|16|iǵemonъ|||||||masc_o|2|2|W|governor|||ἡγεμών||0||||marianus|||||zogr_complete|264
съвѧзьнь||Nb|16|sъvęzьńь|sъvęzьnjь||||||masc_jo|2|||prisoner|||||0||||marianus||supr_y_fixed|||zogr_complete|296
сѫдиище||Nb|16|sǫdьjišče|||||||nt_jo|2|||judge's chair||1|||0||||marianus||supr_y_fixed|||zogr_complete|296
прѣѩти||V-|16|per+jęti|||||per+ję|per+jьm|12|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
двиѕати||V-|16|dvigati|||dviʒati||||52|1||||||||0||||marianus||supr_y_fixed||vit-meth_4_removed|zogr_complete|424
оужасъ||Nb|16|užǢsъ|||||||masc_o|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
прикасати||V-|16|prikasati|||||||54|1|||(refl. + loc.) touch|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|vit-const||zogr_complete|376
тъщь||A-|16|tъščь|||||||adj_soft|2|||empty, useless, good-for-nothing|Vasmer gives cognates Pol. czczy 'empty, hollow' < OPol. tszczy, Belar.. тчшы, and sees in this word the same root as in Ru. тоска < *tъska, so our *šč is justified||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
съвѣтьникъ||Nb|16|sъvětьnikъ|||||||masc_o|2|||advisor, council member|||||0||||marianus||supr_y_fixed|vit-const|vit-meth_4_removed|zogr_complete|488
оутврьждати||V-|16|utvŕ̥ђǢti|utvŕ̥djǢti||||||54|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed||||56
мꙑшьца||Nb|16|myšьka|||myšьca||||fem_a_PV3|2|||shoulder; arm; muscle|||||0||||marianus|psal-sin_sentence_removed||||zogr_complete|280
благоволѥниѥ||Nb|16|bolgovoĺenьje|bolgovoljenьje||||||nt_jo|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed||vit-meth_4_removed|zogr_complete|440
дроужина||Nb|16|družina|||||||fem_a|2|||fellow comrades, squad, entourage|||||0||||marianus||supr_y_fixed|vit-const||zogr_complete|360
основаниѥ||Nb|16|osnovanьje|||||||nt_jo|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
иночѧдъ||A-|16|jьnočędъ|||||||adj_hard|2|||only-child|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
възвѣщати||V-|16|vъzvěšћǢti|vъzvěstjǢti||||||54|1||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
безоумьнъ||A-|16|bezumьnъ|||||||adj_hard|2||||||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
нива||Nb|16|ńiva|njiva||||||fem_a|2||||||||0||||marianus||supr_y_fixed|||zogr_complete|296
прѣпоꙗсати||V-|16|perpojǢsati|||||||52|1|||girdle|||||0||||marianus|psal-sin_sentence_removed||||zogr_complete|280
трѣба||Nb|16|terba|||||||fem_a|2||||there's apparently a Rus. verb теребить and Old Rus. тереба||||0||||marianus||supr_y_fixed|vit-const||zogr_complete|360
подражати||V-|16|podražǢti|||||||54|1||||the dict. lists the doublets подрѣжати/подражати, but it’s possible for jat’ spellings to result from a hardened /ŕ/ if *ŕǢ (spelt рѣ) had become /ra/||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
оутѣшити||V-|16|utěšiti|||||||40|1|||comfort, console|||||0||||marianus|psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|312
вьнегда||Dq|16|vъńegъda|vъnjegъda|||||||0||||The dict. spelling suggests an etymology of *vъn+jegъda, i.e. ‘in when’, ‘in that time’||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
лѫкъ||Nb|16|lǫkъ|||||||masc_o|2||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
сѣдильна||Nb|16|sědidlьna|||||||fem_a|2||||||||0|||||psal-sin_sentence_removed|||||16
сълъгати||V-|16|sъlъgati|||||||52|1||||||||0|||||psal-sin_sentence_removed|supr_y_fixed||||48
призꙑвати||V-|16|prizyvati|||||||54|1||||||||0|||||psal-sin_sentence_removed|supr_y_fixed|||zogr_complete|304
мѣнити||V-|16|měniti|||||||40|1||||||||0||||||supr_y_fixed|vit-const|||96
ожидати||V-|16|||||||||99||||||||0||||||supr_y_fixed|vit-const|||96
въздоухъ||Nb|16|vъzduxъ|||||||masc_o|2||||||||0||||||supr_y_fixed||||32
кꙑижьдо||Px|16|||||||||99||||||||0||||||supr_y_fixed|||zogr_complete|288
нѣкоторꙑи||Px|16|||||||||99||||||||0||||||supr_y_fixed||||32
оуставити||V-|16|||||||||99||||||||0||||||supr_y_fixed||||32
антонии||Ne|16|||||||||99||||||||0||||||supr_y_fixed||||32
словесьнъ|словесьныи|A-|16|slovesьnъ|||||||adj_hard|2||||||||1||||||supr_y_fixed|vit-const|vit-meth_4_removed||224
варахисии||Ne|16|||||||||99||||||||0||||||supr_y_fixed||||32
цѣльба||Nb|16|||||||||99||||||||0||||||supr_y_fixed||||32
поганъ|поганыи|A-|15|poganъ|||||||adj_hard|2|3|||||paganus||1|chrabr|||||supr_y_fixed||vit-meth_4_removed||161
обои||Ma|15|obojь|||||||pron_soft|2||||||||0|chrabr|||marianus||supr_y_fixed|vit-const||zogr_complete|361
