70,<wb>сѧ
47,<wb>о
528,<wb>німъ
1020,<wb>словеса
717,<wb>гнѣ
1020,<wb>словеса
5280 163,<wb>прѣчі|ста
3830,<wb>съребро
4053 48 85,<wb>ражде|же|но
1053 110 98,<wb>іскоу|шѧ|нъ
734,<wb>земі
77,<wb>а
39,<wb>і
2694 3315,<wb>оцѣ|штенье
1646 206 2901,<wb>сед|ме|ріцеѭ
288,<wb>тъі
71,<wb>же
300,<wb>гі
3766 116,<wb>съхрані|ші
336,<wb>нъі
39,<wb>і
1617 3294,<wb>съблю|деші
336,<wb>нъі
84,<wb>отъ
2009,<wb>рода
387,<wb>сего
56,<wb>въ
738,<wb>вѣкъ
3753,<wb>окръстъ
7005 147 111,<wb>нечъ|сті|ві
6705,<wb>ходѧтъ
67,<wb>по
2092 319,<wb>въісо|тѣ
1856,<wb>твоеі
5388 153,<wb>оумножі|ль
313,<wb>есі
3267,<wb>снъі
420 380,<wb>чловѣ|чѧ
56,<wb>въ
3793,<wb>конецъ
945 170 1337,<wb>пь|са|ломъ
1857,<wb>давъ
2927,<wb>доколѣ
300,<wb>гі
6111 3294,<wb>забѫ|деші
226,<wb>мѧ
156,<wb>до
6981,<wb>конъца
2927,<wb>доколѣ
6504 3762,<wb>отъвра|штаеші
822,<wb>ліце
347,<wb>твое
221,<wb>от
364,<wb>мене
2927,<wb>доколѣ
3969,<wb>положѫ
3037,<wb>съвѣтъ
56,<wb>въ
3861,<wb>дші
1859,<wb>моеі
6609,<wb>болѣзнъ
81,<wb>вь
6110,<wb>сръдьці
3468,<wb>моемъ
644,<wb>дьнь
39,<wb>і
3676,<wb>ноштъ
2927,<wb>доколѣ
6536,<wb>възнесетъ
70,<wb>сѧ
1682,<wb>врагъ
329,<wb>моі
68,<wb>на
226,<wb>мѧ
1130 95,<wb>прізъ|рі
5770 116,<wb>оуслъ|ші
226,<wb>мѧ
300,<wb>гі
772,<wb>бже
329,<wb>моі
4218,<wb>просвѣті
531,<wb>очі
329,<wb>моі
736,<wb>еда
2170,<wb>когда
2717 179,<wb>оусъ|нѫ
240,<wb>во
2091,<wb>съмръті
736,<wb>еда
2170,<wb>когда
1214,<wb>речетъ
1682,<wb>врагъ
329,<wb>моі
2687 1155 7316,<wb>у|крѣ|піхъ
70,<wb>сѧ
68,<wb>на
208,<wb>нъ
4321 1854,<wb>сътѫжа|ѭштеі
195,<wb>мі
4290,<wb>въздрадоуѭтъ
70,<wb>сѧ
201,<wb>аште
70,<wb>сѧ
1129 834,<wb>подві|жѫ
290,<wb>азъ
71,<wb>же
68,<wb>на
3448,<wb>мілостъ
1071,<wb>твоѭ
2107 1673,<wb>надѣ|ахъ
70,<wb>сѧ
7486,<wb>въздрадоуетъ
70,<wb>сѧ
7490,<wb>сръдъце
346,<wb>мое
47,<wb>о
2602,<wb>спі
3657,<wb>твоемъ
6983,<wb>поѭ
1341,<wb>гю
1202 17 7335,<wb>благодѣ|а|въшоумоу
588,<wb>мнѣ
39,<wb>і
7269 3,<wb>вьспо|ѭ
1747,<wb>імені
1341,<wb>гю
1496 6502,<wb>въішь|нюмоу
56,<wb>въ
3793,<wb>конецъ
44 3186,<wb>п|сломъ
1857,<wb>давъ
141,<wb>рече
277 1082 2220,<wb>бе|соу|менъ
56,<wb>въ
3343 215,<wb>сръдъ|ці
725,<wb>своімъ
595,<wb>нѣстъ
422,<wb>ба
120 97 104 110,<wb>ра|стъ|лѣ|шѧ
39,<wb>і
6264 320 110,<wb>омра|зі|шѧ
70,<wb>сѧ
56,<wb>въ
3580 1035,<wb>начіна|нъіхъ
595,<wb>нѣстъ
3509,<wb>творѧі
371 400 375,<wb>благо|стъі|нѧ
459,<wb>гь
75,<wb>съ
3728,<wb>нбсі
90 2017,<wb>прі|ніче
68,<wb>на
3267,<wb>снъі
345 380,<wb>чл|чѧ
1078,<wb>відѣті
2655,<wb>ѣште
161,<wb>естъ
6266 509,<wb>разоумѣва|ѧі
178,<wb>лі
4516 509,<wb>възіска|ѧі
422,<wb>ба
1355,<wb>въсі
3064 110,<wb>оуклоні|шѧ
70,<wb>сѧ
1889,<wb>въкоупѣ
62 5617 123,<wb>не|ключі|мі
821,<wb>бъішѧ
595,<wb>нѣстъ
3509,<wb>творѧі
371 400 375,<wb>благо|стъі|нѧ
595,<wb>нѣстъ
156,<wb>до
940,<wb>едіного
122,<wb>ні
178,<wb>лі
2828,<wb>разоумѣѭтъ
1355,<wb>въсі
803 718,<wb>творѧ|штеі
7800,<wb>безаконенъ
2568 86 1854,<wb>сънѣ|да|ѭштеі
844,<wb>люді
1156,<wb>моѧ
56,<wb>въ
2282,<wb>хлѣба
707,<wb>мѣсто
1084,<wb>гѣ
62,<wb>не
1130 1076,<wb>прізъ|вашѧ
390,<wb>тоу
7860 110,<wb>оустраші|шѧ
70,<wb>сѧ
6440 3,<wb>боѣзнь|ѭ
227,<wb>іже
62,<wb>не
165,<wb>бѣ
4299 1125,<wb>боѣ|зні
99,<wb>ѣко
1262,<wb>гъ
56,<wb>въ
5787,<wb>родѣ
2112 1035,<wb>праведъ|нъіхъ
3037,<wb>съвѣтъ
122 1154,<wb>ні|штааго
6109 242,<wb>посрамі|сте
459,<wb>гь
3438 3837,<wb>оупь|ваніе
144,<wb>емоу
161,<wb>естъ
724,<wb>къто
520,<wb>дастъ
84,<wb>отъ
40 7 102,<wb>с|ю|на
2602 11,<wb>спі|е
107 182,<wb>іс|лю
317,<wb>егда
4319,<wb>възвратітъ
459,<wb>гь
6949,<wb>плѣнъ
3877,<wb>людеі
809,<wb>своіхъ
7486,<wb>въздрадоуетъ
70,<wb>сѧ
4240,<wb>іѣковъ
39,<wb>і
6459,<wb>възвеселітъ
70,<wb>сѧ
39 153,<wb>і|ль
974,<wb>слава
44 3186,<wb>п|сломъ
1857,<wb>давъ
300,<wb>гі
724,<wb>къто
909 94 255,<wb>обі|та|етъ
56,<wb>въ
236 5891,<wb>жі|лішті
2928,<wb>твоімь
178,<wb>лі
724,<wb>къто
960 910,<wb>въсе|літъ
70,<wb>сѧ
81,<wb>вь
2753 3480,<wb>св|тѣі
2077,<wb>горѣ
1856,<wb>твоеі
1553,<wb>ходѧ
1241,<wb>бес
2084 134,<wb>поро|ка
596 24,<wb>дѣла|ѧ
2761,<wb>правъдѫ
441,<wb>глѧ
843,<wb>істінѫ
56,<wb>въ
6110,<wb>сръдьці
2245,<wb>своемъ
227,<wb>іже
62,<wb>не
73 137 1956,<wb>оу|лъ|стітъ
3191,<wb>ѧзъікомъ
725,<wb>своімъ
122,<wb>ні
1675,<wb>сътворітъ
4590 6502,<wb>іскрь|нюмоу
159,<wb>сі
4817,<wb>зьла
1880 6774,<wb>поно|шеньѣ
62,<wb>не
1505,<wb>пріѧтъ
68,<wb>на
1007 564 375,<wb>блі|жъ|нѧ
599,<wb>своѧ
73 5571 2147,<wb>оу|нічъ|женъ
161,<wb>естъ
396,<wb>прѣдъ
528,<wb>німъ
6349 16,<wb>лѫкаво|і
2284 718,<wb>боѧ|штеі
71,<wb>же
70,<wb>сѧ
1084,<wb>гѣ
338 712,<wb>сла|вѧтъ
4213 139,<wb>клъ|нъі
70,<wb>сѧ
5493 6502,<wb>іскръ|нюмоу
1397,<wb>своемоу
62,<wb>не
3708 255,<wb>отъмѣта|етъ
70 9,<wb>сѧ|х
7294,<wb>съребра
524,<wb>своего
62,<wb>не
520,<wb>дастъ
81,<wb>вь
7532 337,<wb>ліх|вѫ
39,<wb>і
1668,<wb>мъіта
68,<wb>на
7235 668,<wb>неповінъ|нъііхъ
62,<wb>не
1505,<wb>пріѧтъ
3509,<wb>творѧі
121,<wb>се
62,<wb>не
5395,<wb>подвіжітъ
70,<wb>сѧ
56,<wb>въ
738,<wb>вѣкъ
817,<wb>тѣло
44 3186,<wb>п|сломъ
1857,<wb>давъ
3766,<wb>съхрані
226,<wb>мѧ
300,<wb>гі
99,<wb>ѣко
68,<wb>на
374,<wb>тѧ
3438 1381,<wb>оупь|вахъ
949,<wb>рѣхъ
1341,<wb>гю
1262,<wb>гъ
329,<wb>моі
313,<wb>есі
288,<wb>тъі
99,<wb>ѣко
5478,<wb>благъііхъ
1216,<wb>моіхъ
62,<wb>не
1520 608,<wb>трѣбоу|еші
2753 43 204,<wb>св|тъ|імъ
227,<wb>іже
419,<wb>сѫтъ
68,<wb>на
734,<wb>земі
135,<wb>его
73 8020,<wb>оу|діві
1262,<wb>гъ
3337,<wb>въсѧ
4672,<wb>волѧ
599,<wb>своѧ
56,<wb>въ
562,<wb>ніхъ
7629,<wb>оумножішѧ
70,<wb>сѧ
5786,<wb>немошті
299,<wb>іхъ
67,<wb>по
745,<wb>сіхъ
73 24 3281 110,<wb>оу|ѧ|дрі|шѧ
70,<wb>сѧ
62,<wb>не
2632 316,<wb>събе|рѫ
4974,<wb>сънемъ
299,<wb>іхъ
84,<wb>отъ
527 219,<wb>кръ|въі
122,<wb>ні
3232,<wb>помѧнѫ
71,<wb>же
466 10,<wb>імѧ|н
299,<wb>іхъ
1409 2808,<wb>оустъ|намі
5406,<wb>моімі
459,<wb>гь
708 97,<wb>чѧ|стъ
2416 565,<wb>достоѣ|ньѣ
563,<wb>моего
39,<wb>і
109 33 110,<wb>ч|ѣ|шѧ
1239,<wb>моеѧ
288,<wb>тъі
313,<wb>есі
3374 33 509,<wb>оустра|ѣ|ѧі
2416 119,<wb>достоѣ|нь
346,<wb>мое
2231,<wb>мънѣ
6893,<wb>ѫжа
156 254 175,<wb>до|па|дѫ
195,<wb>мі
56,<wb>въ
6944 92 1035,<wb>дрьжа|въ|нъіхъ
1566,<wb>ібо
2416 447,<wb>достоѣ|нье
195,<wb>мі
1530 3155,<wb>дръжа|въно
161,<wb>естъ
2231,<wb>мънѣ
1876 474,<wb>благослове|штѫ
1084,<wb>гѣ
56 2481 55 6583,<wb>въ|разоу|мъ|шаго
226,<wb>мѧ
404,<wb>пакъі
71,<wb>же
39,<wb>і
156,<wb>до
1516,<wb>ношті
1399,<wb>показа
226,<wb>мѧ
2599 334,<wb>ѫтро|ба
556,<wb>моѣ
399 233,<wb>істі|сѣ
38 302 34 146 16 968,<wb>|лѧ|д|ве|і|нѣі
4037 192 3504,<wb>прѣді|зъ|рѣхъ
1084,<wb>гѣ
7133,<wb>прѣдо
2117,<wb>мъноѭ
2244,<wb>въінѫ
99,<wb>ѣко
47,<wb>о
705 179,<wb>дес|нѫ
364,<wb>мене
161,<wb>естъ
105,<wb>да
70,<wb>сѧ
62,<wb>не
1129 834,<wb>подві|жѫ
387,<wb>сего
368,<wb>раді
6459,<wb>възвеселітъ
70,<wb>сѧ
3563,<wb>сръдьце
346,<wb>мое
39,<wb>і
4613,<wb>въздрадова
70,<wb>сѧ
691 569,<wb>ѧзъі|кь
329,<wb>моі
404,<wb>пакъі
71,<wb>же
39,<wb>і
656 43,<wb>пло|тъ
556,<wb>моѣ
960 910,<wb>въсе|літъ
70,<wb>сѧ
68,<wb>на
1754 2789,<wb>оупъва|нъе
99,<wb>ѣко
62,<wb>не
646 116,<wb>оставі|ші
1786,<wb>дшѧ
1239,<wb>моеѧ
56,<wb>въ
3437,<wb>адѣ
122,<wb>ні
5790,<wb>дасі
7053 2151,<wb>прѣподобъ|ноумоу
1397,<wb>своемоу
1078,<wb>відѣті
4501 104 565,<wb>істъ|лѣ|ньѣ
1360 137,<wb>съказа|лъ
195,<wb>мі
313,<wb>есі
895,<wb>пѫті
920 32 471,<wb>жівотъ|т|нъіѧ
1564 116,<wb>ісплъні|ші
226,<wb>мѧ
1268 137 33,<wb>весе|лъ|ѣ
75,<wb>съ
3118,<wb>ліцемъ
1454,<wb>твоімъ
5409 94,<wb>красо|та
56,<wb>въ
705 541,<wb>дес|ніці
1856,<wb>твоеі
156,<wb>до
6981,<wb>конъца
56,<wb>въ
3793,<wb>конецъ
2040,<wb>молітва
2417,<wb>два
5770 116,<wb>оуслъ|ші
300,<wb>гі
2761,<wb>правъдѫ
813,<wb>моѭ
6958,<wb>вонъмі
1420,<wb>молітвѫ
813,<wb>моѭ
56 4865,<wb>въ|оуші
108 3908,<wb>мо|ленье
346,<wb>мое
62,<wb>не
4114 2957,<wb>оусть|нахъ
3067 1381,<wb>льсті|вахъ
84,<wb>отъ
1385,<wb>ліца
697,<wb>твоего
1066 334,<wb>сѫдъ|ба
556,<wb>моѣ
4884,<wb>ізідетъ
531,<wb>очі
329,<wb>моі
916,<wb>тогда
1369,<wb>відіте
5256 375,<wb>правъі|нѧ
5634 137,<wb>іскоусі|лъ
313,<wb>есі
3563,<wb>сръдьце
346,<wb>мое
3896 137,<wb>посѣті|лъ
313,<wb>есі
3676 3,<wb>ноштъ|ѭ
4053 48,<wb>ражде|же
226,<wb>мѧ
39,<wb>і
62,<wb>не
2825,<wb>обрѣтѫ
70,<wb>сѧ
240,<wb>во
588,<wb>мнѣ
1133 2324,<wb>непра|въда
105,<wb>да
62,<wb>не
5218 1842,<wb>възг|лѭтъ
1106,<wb>оуста
556,<wb>моѣ
3200,<wb>дѣлъ
630 683,<wb>члв|чъ
171,<wb>за
1020,<wb>словеса
1409 98,<wb>оустъ|нъ
865,<wb>твоіхъ
290,<wb>азъ
5085,<wb>съхраніхъ
895,<wb>пѫті
3311 148,<wb>жесто|къі
6661,<wb>съвръшілъ
313,<wb>есі
6091,<wb>стопъі
1156,<wb>моѧ
240,<wb>во
2647 4973,<wb>сть|зѣхъ
1216,<wb>моіхъ
105,<wb>да
62,<wb>не
1129 1832,<wb>подві|жѧтъ
70,<wb>сѧ
6091,<wb>стопъі
1156,<wb>моѧ
290,<wb>азъ
4038,<wb>возъвахъ
99,<wb>ѣко
5770 158,<wb>оуслъ|ша
226,<wb>мѧ
772,<wb>бже
6534,<wb>пріклоні
184,<wb>ко
2231,<wb>мънѣ
2554,<wb>оухо
347,<wb>твое
39,<wb>і
1404,<wb>оуслъіші
2539,<wb>глъі
1156,<wb>моѧ
73 8020,<wb>оу|діві
1151,<wb>мілості
1164,<wb>твоѧ
2521 24,<wb>спа|ѧ
4266 1946,<wb>оупьва|ѭштѧѧ
68,<wb>на
374,<wb>тѧ
84,<wb>отъ
958 381 805,<wb>проті|вѧ|штііхъ
70,<wb>сѧ
705 541,<wb>дес|ніці
1856,<wb>твоеі
3766,<wb>съхрані
226,<wb>мѧ
300,<wb>гі
99,<wb>ѣко
735 849,<wb>зѣ|ніцѫ
2529,<wb>ока
56,<wb>въ
3833,<wb>кровѣ
527 228,<wb>кръ|лоу
3649,<wb>твоею
2440 608,<wb>покръі|еші
226,<wb>мѧ
84,<wb>отъ
1385,<wb>ліца
2211 6108,<wb>нечьсті|въіхъ
47 815 383 871,<wb>о|стра|шть|шіхъ
226,<wb>мѧ
2552,<wb>вразі
329,<wb>моі
911,<wb>дшѫ
813,<wb>моѭ
1677 7844,<wb>одръ|жашѧ
390 138,<wb>тоу|къ
424,<wb>своі
2997 110,<wb>затворі|шѧ
1106,<wb>оуста
299,<wb>іхъ
1489,<wb>глашѧ
4165 179,<wb>гръдъі|нѫ
4580 718,<wb>ізгонѧ|штеі
226,<wb>мѧ
457,<wb>нъінѣ
4128,<wb>обідѫ
226,<wb>мѧ
531,<wb>очі
424,<wb>своі
3574,<wb>възложішѧ
3064 110,<wb>оуклоні|шѧ
68,<wb>на
4064 3,<wb>земъ|ѭ
3299 281,<wb>обѧ|сѧ
226,<wb>мѧ
99,<wb>ѣко
6698,<wb>левъ
6657,<wb>готовъ
68,<wb>на
874 92,<wb>ло|въ
39,<wb>і
99,<wb>ѣко
40 273 2220,<wb>с|коу|менъ
909 6693,<wb>обі|таѧ
240,<wb>во
2001 1157,<wb>съкрові|штіхъ
1504 4351,<wb>въскръ|сні
300,<wb>гі
2862,<wb>варі
225,<wb>ѧ
2334,<wb>прѣдѣ
210,<wb>імъ
39,<wb>і
1101,<wb>ізбаві
911,<wb>дшѫ
813,<wb>моѭ
84,<wb>отъ
7005 147 103,<wb>нечъ|сті|ва
641 316 564 33,<wb>ѫ|рѫ|жъ|ѣ
697,<wb>твоего
84,<wb>отъ
1682,<wb>врагъ
1790,<wb>рѫкъі
1164,<wb>твоѧ
300,<wb>гі
84,<wb>отъ
4835,<wb>малъ
221,<wb>от
1485,<wb>землѧ
4603,<wb>раздѣлі
225,<wb>ѧ
56,<wb>въ
4291,<wb>жівотѣ
299,<wb>іхъ
39,<wb>і
448 2950 1035,<wb>со|кръве|нъіхъ
865,<wb>твоіхъ
1564,<wb>ісплъні
70,<wb>сѧ
2599 334,<wb>ѫтро|ба
299,<wb>іхъ
4121,<wb>насъітішѧ
70,<wb>сѧ
423 92,<wb>снъ|въ
39,<wb>і
5699,<wb>оставішѧ
47 113 104 138,<wb>о|дъ|лѣ|къ
2139 98 1233,<wb>младе|нъ|цемъ
725,<wb>своімъ
290,<wb>азъ
71,<wb>же
1143 2430,<wb>правъ|доѭ
77 18 293,<wb>а|в|лѫ
70,<wb>сѧ
2197 74 673,<wb>л|лі|цоу
1431,<wb>твоемоу
1307 474,<wb>насъі|штѫ
70,<wb>сѧ
317,<wb>егда
5487,<wb>авітъ
195,<wb>мі
70,<wb>сѧ
974,<wb>слава
552,<wb>твоѣ
974,<wb>слава
7046 10 66,<wb>сѣд|н|ла
56,<wb>въ
62 446,<wb>не|цъ
806 273,<wb>отро|коу
65 1760,<wb>г|ню
2109,<wb>дві
494,<wb>ѣже
130,<wb>гла
150,<wb>къ
1341,<wb>гю
1020,<wb>словеса
4327,<wb>пѣсні
2760,<wb>сеѧ
150,<wb>къ
497,<wb>дъ
56,<wb>въ
208 48,<wb>нъ|же
1101,<wb>ізбаві
39,<wb>і
1262,<wb>гъ
2288,<wb>ізд
1790,<wb>рѫкъі
4778,<wb>въсѣхъ
1682,<wb>врагъ
144,<wb>емоу
2288,<wb>ізд
350 13 35,<wb>рѫ|к|у
39,<wb>і
301 92 93 219,<wb>са|въ|ло|въі
39,<wb>і
141,<wb>рече
2110 3309,<wb>възлю|блѫ
374,<wb>тѧ
300,<wb>гі
2028 97,<wb>крѣпо|стъ
556,<wb>моѣ
459,<wb>гь
1609 5191,<wb>оутвръ|жденье
346,<wb>мое
39,<wb>і
4926,<wb>прібѣжіште
346,<wb>мое
168 19 334 111 3851,<wb>із|з|ба|ві|телъ
329,<wb>моі
443,<wb>бъ
329,<wb>моі
7567,<wb>помоштънікъ
329,<wb>моі
1754 3,<wb>оупъва|ѭ
68,<wb>на
208,<wb>нъ
4051 43 409,<wb>зашті|тъ|нікъ
329,<wb>моі
5768,<wb>рогъ
637 4792,<wb>сп|нъѣ
563,<wb>моего
39,<wb>і
2346 461 409,<wb>застѫ|пъ|нікъ
329,<wb>моі
6158,<wb>хвалѧ
7686,<wb>прізовѫ
1084,<wb>гѣ
39,<wb>і
84,<wb>отъ
1682,<wb>врагъ
1216,<wb>моіхъ
637 623,<wb>сп|сѫ
70,<wb>сѧ
1677 7844,<wb>одръ|жашѧ
226,<wb>мѧ
2426,<wb>болѣзні
3297 471,<wb>съмръть|нъіѧ
39,<wb>і
1182 215,<wb>пото|ці
2465 565,<wb>безаконе|ньѣ
3131 5411,<wb>съмѫ|тішѧ
226,<wb>мѧ
2426,<wb>болѣзні
77 7265,<wb>а|довъі
4128,<wb>обідѫ
226,<wb>мѧ
2862 110,<wb>варі|шѧ
226,<wb>мѧ
4786,<wb>сѣті
1246 6011,<wb>съмръ|тънъіѧ
39,<wb>і
56,<wb>въ
1460 315,<wb>скръ|бъ
813,<wb>моѭ
1130 1381,<wb>прізъ|вахъ
1084,<wb>гѣ
39,<wb>і
150,<wb>къ
710,<wb>боу
1787,<wb>моемоу
4038,<wb>возъвахъ
39,<wb>і
1148,<wb>оуслъіша
84,<wb>отъ
2753 5401,<wb>св|тъіѧ
476 2507,<wb>цр|къві
1276,<wb>своеѧ
1075,<wb>гласъ
329,<wb>моі
39,<wb>і
240 1545,<wb>во|пль
329,<wb>моі
396,<wb>прѣдъ
528,<wb>німъ
3878,<wb>вьнідетъ
56 10,<wb>въ|н
1548,<wb>оуші
135,<wb>его
39,<wb>і
5710,<wb>подвіжа
70,<wb>сѧ
39,<wb>і
5833 102,<wb>трепетъ|на
351,<wb>бъістъ
1748,<wb>землѣ
39,<wb>і
6123 1661 119 118,<wb>осъ|нова|нь|нѣ
7116,<wb>горъ
2291 281,<wb>съмѧ|сѧ
70,<wb>сѧ
39,<wb>і
5710,<wb>подвіжа
70,<wb>сѧ
99,<wb>ѣко
6979,<wb>прогнѣва
70,<wb>сѧ
68,<wb>на
45 7,<wb>н|ю
443,<wb>бъ
39,<wb>і
4540,<wb>възіде
3779 55,<wb>дъі|мъ
4088,<wb>гнѣвомъ
135,<wb>его
39,<wb>і
894,<wb>огнь
84,<wb>отъ
513,<wb>него
6832 733,<wb>въспла|нетъ
70,<wb>сѧ
641 28 6501,<wb>ѫ|г|лье
160 58 2463,<wb>въз|го|рѣшѧ
70,<wb>сѧ
84,<wb>отъ
513,<wb>него
39,<wb>і
4033,<wb>прѣклоні
4504,<wb>нбса
39,<wb>і
6168,<wb>сьніде
39,<wb>і
90 3742 138,<wb>прі|мра|къ
826,<wb>подъ
1981,<wb>ногама
135,<wb>его
39,<wb>і
3058,<wb>вьзіде
68,<wb>на
2055 191 111 55,<wb>хе|роу|ві|мъ
39,<wb>і
639 319,<wb>ле|тѣ
639 319,<wb>ле|тѣ
68,<wb>на
7836 228,<wb>кроу|лоу
3125 1760,<wb>вѣтръ|ню
39,<wb>і
761,<wb>положі
3721,<wb>тъмѫ
6750 3727,<wb>зак|ровъ
424,<wb>своі
3753,<wb>окръстъ
135,<wb>его
7232,<wb>кровъ
135,<wb>его
238 55 102,<wb>те|мъ|на
1933,<wb>вода
56,<wb>въ
4915,<wb>облацѣхъ
77 11 101 1035,<wb>а|е|ръ|нъіхъ
84,<wb>отъ
1007 1883 565,<wb>блі|сцѣ|ньѣ
135,<wb>его
396,<wb>прѣдъ
528,<wb>німъ
832 259,<wb>обла|цѣ
3255 175,<wb>проі|дѫ
698,<wb>градъ
39,<wb>і
641 28 6501,<wb>ѫ|г|лье
894 60,<wb>огнь|ні
39,<wb>і
240 19 28 101 181,<wb>во|з|г|ръ|мѣ
75,<wb>съ
3728,<wb>нбсі
459,<wb>гь
39,<wb>і
6115,<wb>въішьнеі
520,<wb>дастъ
1075,<wb>гласъ
424,<wb>своі
2365,<wb>поусті
2423 209,<wb>стѣ|лъі
39,<wb>і
234 1346,<wb>раз|гъна
225,<wb>ѧ
39,<wb>і
2101 119 24,<wb>млъ|нь|ѧ
5388,<wb>оумножі
39,<wb>і
4017,<wb>съмѧте
225,<wb>ѧ
39,<wb>і
1757 110,<wb>аві|шѧ
70,<wb>сѧ
2076 683 541,<wb>істо|чъ|ніці
3004 276,<wb>водъ|ніі
39,<wb>і
3195 110,<wb>отъкръі|шѧ
70,<wb>сѧ
3420 4792,<wb>основа|нъѣ
73 6483 471,<wb>оу|селе|нъіѧ
84,<wb>отъ
1263 3511 33,<wb>запрѣ|штенъ|ѣ
697,<wb>твоего
300,<wb>гі
84,<wb>отъ
497 9 2549 4792,<wb>дъ|х|нове|нъѣ
2042,<wb>дха
1840,<wb>гнѣва
697,<wb>твоего
456,<wb>посъла
5963 16 82,<wb>съвь|і|ше
1505,<wb>пріѧтъ
226,<wb>мѧ
3021,<wb>поѧтъ
226,<wb>мѧ
84,<wb>отъ
3004,<wb>водъ
2087,<wb>многъ
3210,<wb>ізбавітъ
226,<wb>мѧ
84,<wb>отъ
1682,<wb>врагъ
1216,<wb>моіхъ
2622 1035,<wb>сілъ|нъіхъ
39,<wb>і
157,<wb>тъ
2375 805,<wb>ненавідѧ|штііхъ
226,<wb>мѧ
99,<wb>ѣко
1609 110,<wb>оутвръ|шѧ
70,<wb>сѧ
580,<wb>паче
364,<wb>мене
2862 110,<wb>варі|шѧ
226,<wb>мѧ
56,<wb>въ
869,<wb>день
7543 1244 565,<wb>озъло|бле|ньѣ
563,<wb>моего
39,<wb>і
351,<wb>бъістъ
459,<wb>гь
7633 24 1319,<wb>подь|ѧ|тель
329,<wb>моі
39,<wb>і
2224 34,<wb>вьзве|д
226,<wb>мѧ
68,<wb>на
5322 495,<wb>шіро|тѫ
1101,<wb>ізбаві
226,<wb>мѧ
99,<wb>ѣко
2608,<wb>въсхотѣ
226,<wb>мѧ
39,<wb>і
3608,<wb>въздастъ
195,<wb>мі
459,<wb>гь
67,<wb>по
6452,<wb>правъдѣ
1859,<wb>моеі
39,<wb>і
67,<wb>по
7562,<wb>чістотѣ
1655,<wb>рѫкоу
4138,<wb>моею
3608,<wb>въздастъ
195,<wb>мі
99,<wb>ѣко
5085,<wb>съхраніхъ
895,<wb>пѫті
6766,<wb>гнѧ
39,<wb>і
62,<wb>не
7005 217 1381,<wb>нечъ|сто|вахъ
157,<wb>тъ
422,<wb>ба
563,<wb>моего
99,<wb>ѣко
3337,<wb>въсѧ
5103,<wb>сѫдъбъі
135,<wb>его
396,<wb>прѣдъ
1558,<wb>мноѭ
39,<wb>і
2498 4792,<wb>оправъда|нъѣ
223,<wb>го
62,<wb>не
3111 110,<wb>отъстѫпі|шѧ
377,<wb>оть
364,<wb>мене
39,<wb>і
1387,<wb>бѫдѫ
1348 1960,<wb>непо|ченъ
75,<wb>съ
528,<wb>німъ
39,<wb>і
1201 126,<wb>съхра|не
70,<wb>сѧ
84,<wb>отъ
2465 565,<wb>безаконе|ньѣ
563,<wb>моего
39,<wb>і
3608,<wb>въздастъ
195,<wb>мі
459,<wb>гь
67,<wb>по
6506,<wb>правьдѣ
1859,<wb>моеі
39,<wb>і
67,<wb>по
7562,<wb>чістотѣ
1655,<wb>рѫкоу
4138,<wb>моею
396,<wb>прѣдъ
2801,<wb>очіма
135,<wb>его
75,<wb>съ
7133 315 3929,<wb>прѣдо|бъ|номь
1624 2613,<wb>прѣподо|бенъ
2062,<wb>бѫдеші
39,<wb>і
75,<wb>съ
507 55,<wb>може|мъ
3590 119 3929,<wb>непові|нь|номь
7235,<wb>неповінъ
2062,<wb>бѫдеші
39,<wb>і
75,<wb>съ
1834 687,<wb>ізбъра|номъ
1834 98,<wb>ізбъра|нъ
2062,<wb>бѫдеші
39,<wb>і
75,<wb>съ
2951 461 52 1694,<wb>стро|пъ|ті|вомъ
234 2800 116,<wb>раз|враті|ші
70,<wb>сѧ
99,<wb>ѣко
288,<wb>тъі
844,<wb>люді
3216 471,<wb>съмѣре|нъіѧ
1647 116,<wb>спе|ші
300,<wb>гі
39,<wb>і
531,<wb>очі
4165 76,<wb>гръдъі|хъ
3435 116,<wb>съмѣрі|ші
99,<wb>ѣко
288,<wb>тъі
5119 608,<wb>просвѣшта|еші
1599 137 409,<wb>свѣті|лъ|нікъ
329,<wb>моі
300,<wb>гі
49 564,<wb>б|жъ
329,<wb>моі
5119 608,<wb>просвѣшта|еші
3721,<wb>тъмѫ
813,<wb>моѭ
99,<wb>ѣко
1238,<wb>тобоѭ
743 92 3,<wb>ізба|въ|ѭ
70,<wb>сѧ
84,<wb>отъ
5144,<wb>напасті
39,<wb>і
4451,<wb>бзѣ
3468,<wb>моемъ
127 669 30,<wb>прѣ|лѣз|ѫ
2423 179,<wb>стѣ|нѫ
1351,<wb>бь
329,<wb>моі
4179 1960,<wb>непоро|ченъ
5450,<wb>пѫтъ
135,<wb>его
1603 146 170,<wb>сль|ве|са
717,<wb>гнѣ
120 48 800 102,<wb>ра|же|деже|на
4051 43 409,<wb>зашті|тъ|нікъ
161,<wb>естъ
5426,<wb>въсѣмъ
1754 3 5991,<wb>оупъва|ѭ|шімъ
68,<wb>на
208,<wb>нъ
99,<wb>ѣко
2469,<wb>кото
443,<wb>бъ
2118,<wb>развѣ
1084,<wb>гѣ
178,<wb>лі
724,<wb>къто
