page_no|page_text|gloss_thing
83a| храма въ кѫю стражѹ тать придѥть• бъдѣлъ ѹбо бꙑ• и не бꙑ оставилъ подърꙑти храма своѥго• сего ради и вꙑ бѫдѣте готови• ꙗко въ ньже часъ не вѣсте с҃нъ чл҃чъ придеть• ѥмѫже слава въ кꙑ вѣкомъ АМИН л҃ѕ ⁘ Ꙍ ЛѢНОСТИ ⁘ Лѣностъ• припрѧжена ѥстъ ꙁьлобѣ• рабѥ бо рече ꙁълꙑи и лѣнивꙑи• г҃ю|
83b| ѹбо крѣпость подаваѫштѹ• и мꙑ блгоспѣшиѥ покажѣмъ• и отъвръꙁѣмъ отъ насъ въсѫ лѣностъ• и дѣлателѥ бѫдѣмъ• истиннааго винограда• и хранителе ꙁаповѣдьи г҃нъ• ꙗко сн҃и присни• а не ꙗко раби лѣниви• ли ꙗкоже дѣлателе наꙗти• мьнѧштѥ сънисканьѥ сѫштѥ• благовѣриѥ• работаѫште своимъ чрѣвесемъ• и благꙑими словесꙑ прѣльштаѫште ср҃ца неꙁьлобивъихъ• Не бѹдѣмъ ꙗкоже павлъ речѥ• лъжѥап҇ⷭли•|
83c| сребролюбьци• дѣлателе льстиви• прѣобраꙁѹѫште сѧ• въ слѹжителѧ свѣта• тьма сѫште• нъ достоинѣ ꙁъваньꙗ и исповѣданиꙗ нашего поживѣмъ• подобънѣ и правьдьнѣ и благочьстьнѣ живѫштѥ• помꙑшлѧѫште добраа• не тъчьѫ прѣдь г҃мъ• нъ и прѣдь чл҃кꙑ се бо ѥ правъдьно• да славимъ бѫдѥть б҃ъ о вьсѣхъ• отъвръꙁѣмъ ѹбо ѿ нась лѣнованиѥ• и ꙗко раби вѣръни• пожидѣмъ дьне пришьствьꙗ г҃а нашего•|
83d| въ ньжѥ нб҃са съвьѫть сѧ• и ꙁемлѧ искꙑпить отъ вѣка ѹсъпъшаѧ• горꙑ и вьсѧ сѫша ѹжаснеть сѧ ѿ лица его• ѥгда придеть сѫди на облѣцѣхъ• тъгда вьсѧ трепетъ прииметь и нб҃сънꙑꙗ силꙑ подвижать сѧ• тѣмьжѥ вельиѥ естъ ꙁѣло оплъчениѥ ѥго• ꙁане крѣпъка дѣла словесъ ѥго• въ съконьчаниѥ въ вихъръ пѫть его• и ѡблакъ прахъ ногѹ его• прѣтѧ морю и исѹшаѧ ѥ• придеть бо г҃ъ съ ꙗростьѫ своеѥѫ• ꙗко огнъ• и ꙗко бѹрѧ + орѫжиѥ ѥго:|+ колѥсница ѥго
84a| и огнь прѣдъпоидетъ прѣдъ нимь• и сѫштеи въ гробѣхъ• ѹслꙑшать страшънꙑи гласъ ѥго• и иꙁидѹть нѥлѣнивии• въ благꙑихъ дѣлѣхъ• въ жиꙁнъ вѣчънѹѫ• а лѣнивии и ꙁълии• въ мѫкѫ вѣчънѫѭ• и ѹꙁърѧтъ страшъноѥ сѫдиштѥ х҃во• идежѥ прѣстоли прѣстоꙗть на сѫдъ• и рѣкоѫ тѥкꙑ огнь прѣдъ нимь• и кънигꙑ раꙁгьбѥнꙑ• идѥже дѣла отъкрꙑѫть сѧ Тѣмьжѥ поминаѭште дьнь тъ• нѥ|
84b| бѹдѣмъ лѣниви• ни нѥтрѥбиви• въ прѣдълежѧштаа намъ• нижѥ настоꙗштаа ꙗко в¬ѣчь¬наа вьнемꙗмъ• Оучить жѥ нꙑ и притъчъникъ г҃лѧ• аште нелѣнъ бѫдеши придѥть ꙗко источъникъ жѧтва твоꙗ• а ништета ти ꙗко и ꙁълъ мѫжь отидеть• И па҇ⷦ• дѣлаꙗи своѫ ꙁемлѫ насꙑтить сѧ хлѣба• множѧи же праꙁдьньство• насꙑтитъ сѧ ништетꙑ• И пакꙑ• въ лѣностехъ съмѣрить сѧ надежда• и въ праꙁнехъ|
84c| рѫкѹ капѥть храмъ• И па҇ⷦ• ништета мѫжа съмѣрѧѥть• рѫкꙑ же въстанивъихъ обогаштаѫть• И па҇ⷦ• бѫди къ мравии ѡ лѣностиве• и бѫди тоѧ мд҃рѣи• она бо тѧжаниѭ нѥ сѫштѫ ѥи• ни• нѹдѧштааго имѫшти• готовить въ жатвѫ пиштѭ• И па҇ⷦ• иди къ бъчѥлѣ• и ѹвѣждъ ꙗко тѧжатель ѥсть• тѧжаниѥ жѥ ꙗко прѣчисто творитъ• ѥꙗжѥ ѹсильꙗ• ц҃ри и простии• къ съдравиѫ прилагаѫть•|
84d| И па҇ⷦ: доколѣ лѣностиве вьꙁлежиши• къгдажѥ отъ съна въстанеши• мало сьпиши• мало же обѥмеши рѫкама прьси• потомь наидѥть тѥбѣ ѹбожьѥ и ништета• ꙗко благъ теча• Иеремиѧ же рече• ѹсънѫхомъ въ стѹдѣ нашемь• и покрꙑ нꙑ бечьстиѥ нашѥ• горе• намъ ꙗко страдаваѥмъ• Гл҃ѥть жѥ и инъ• камени проканѹ тъчьнъ ѥстъ лѣнивъи• и вьсь поꙁвиждеть на нъчъстъѥ ѥго•|
85a| И па҇ⷦ• поносимъ лѣнивꙑи не стꙑдить сѧ: лаиномъ бо жидъкомъ тъчьнъ ѥстъ лѣнивъи: Отъвръꙁѣмъ ѹбо братие вьсеѫ силоѭ лѣностъ и праꙁдьньѥ• да нѥ црс҃тва нб҃снааго лишить нꙑ въ геѥннѫ жѥ огнънѫѭ въвѥдѥть• Послѹшаимь ап҃ла съвѣтѫѭшта• тъштаниѥмь нелѣниви• дх҃мь горѧште• г҃ю работаште• И дв҃доваа поѭште• бл҃гнъ г҃ь наѹчаѧ рѹцѣ мои на оплъчѥниѥ• пръстꙑ моꙗ на брань• Оубоимъ сѧ притьча|
85b| съкрꙑвъшааго талантъ въ ꙁемли• да не ѹслꙑшимъ отъ сп҃са• рабѥ лѣнивъи лѹкавъи• и въꙁьмѣте отъ нѥго талантъ• и нѥтрѣбааго раба въвръꙁѣте въ тьмѹ кромѣшънѫю• тѫ бѫдеть плачъ и скръжъть ꙁѹбъи• нъ паче потьштимъ сѧ ѹслꙑшати• добръи рабе• блажѥ и вѣрънѥ• надъ маломь бо вѣрънъ• надъ многомь тꙗ ѹстроѫ• въниди въ радостъ г҃а своѥго• ѥмѫжѥ слава въ вѣкꙑ вѣкомъ•|
85c| л҃ꙁ ⁘ О ТО ҇ⷨ ѤЖЕ НЕ ТИЩАТИ СѦ СЪ СЇЛН ҇ⷪМ⁘ Ст҃ꙑимь ѱаниѥмь кажеми ѥсмъ• ꙗко не подобьно нъ ѥстъ съ могѫштьмъ тиштати сѧ• не довъльни бо ѥсмъ тъчънити сѧ съ бѥтьчьнъимъ• ꙗкоже бо бестъчьнꙑꙗ рꙑбꙑ лаѫштѥꙗ брашьнѹ себѣ хѹждьшѧꙗ творѧть рꙑбꙑ• тако и сильнии ѹдобиꙁнѫ имѫть обидѣти немоштьнꙑꙗ• имѫть жѥ и лютостъ и беꙁмилованиѥ• и раꙁграбꙗѫть ѹбогꙑѧ|
85d| ловитвѫ ꙗ непьщѫѫть• не вѣдѧть бо житиѫ бѥꙁвѣстиѧ• аште бо бѫ вѣдѣли• то не бꙑша недостатъка ѹбогꙑихъ прикладали на своꙗ иꙁбꙑваньꙗ• подвиꙁаѫштѫ сѧ ꙗко отъврѣшти ꙁаповѣдъ ап҃лѫ гл҃ѫшта• Вашъ иꙁбꙑтъкъ вь лишѥние ништиихъ• Добрѣ ѹбо бж҃ьствъноѥ ѱаниѥ велить намъ• хранити сѧ отъ таковꙑихь рече бо• не прилагаи сѧ ѹбогъ сꙑ богатѣѥмь• богатꙑи бо обидѹ сътвори• и самъ припрѣти•|
86a| ништьи обидѣнъ бꙑвъ• и самъ примоли сѧ• коѥ бо рѥче причастьѥ гръньцю съ котъломь• тъ прираꙁить сѧ• и съкрѫшить сѧ• рече же и притъчьникъ• нѥ простираи сѧ ништъ сꙑ съ богатомь• и не ꙗждъ хлѣба своего съ нимь• иꙁблюеть бо и• и оскврънить словеса твоѧ добраꙗ• И про҇ⷦ• амосъ речѥ о нихъ• бьꙗи въ главꙑ ѹбогꙑихъ• и пѫть съмѣренꙑихъ ѹклонишѧ• вино отъ клеветꙑ пьѧахѫ: Добръи жѥ ѹчитель|
86b| ап҃ль коринѳиомъ пишѧ гл҃аашѥ• почьто не паче обидими есте• почьто не паче обидими бꙑваѥте: нъ вꙑ обїдитѥ и лишаѥтѥ и сѥ братиѫ• И приводить• въс¬ь¬мь срамъ вамъ естъ• ꙗко тѧжѧ имате съ собоѫ• или не вѣсте ꙗко обидьливии: црс҃тва бж҃ьꙗ не наслѣдѧть• И г҃ъ же о кънижъницѣхъ и фарисеихъ рече• съвѧꙁаѫть брѣмена тѧжъка• и неѹдобь носима• и въскладаѫть на рама чл҃чѣ• а пръстомь своимь не хотѧть двигнѫти ихъ•|
86c| Нъ ижѥ ѹбо братие прилѣжьно молимъ сѧ вьсѣхъ обидьливъихъ иꙁбавити нꙑ вл҃цѣ б҃ѹ нашѥмѹ ѥмѫже слава вь вѣкꙑ вѣкомъ АМИН л҃и ⁘О ПРѢСЛОУШ ҇ⷶНИИ⁘ Ꙗкожѥ послѹшаниѥ жиꙁнъ: тако и прѣслѹшаньѥ съмръть сътварѧеть• и послѹшаеть ми словеси: Пръвъи рѹкоѫ бж҃ьеѫ ꙁъданъи чл҃къ•|
86d| аште бо бꙑ не ослѹшалъ ꙁаповѣди народотворъчꙗ• не бꙑ ѹбо лишилъ сѧ породꙑ и дрѣва жиꙁнънааго• иꙁдриновенъ жѥ иꙁ-д-раꙗ бꙑвъ• съмрътиѫ осѫди сѧ самъ• и ижѥ отъ него вѣчьноѫ• слꙑшавъ ꙁемлѧ ѥси• и въ ꙁемлю поидеши• И иꙁъ ѥѫпта же ишедьшеи: ихъже ѹди падошѧ въ пѹстꙑни• и не послѹшашѧ гласа г҃нꙗ и въ ꙁаконѣ его не рачиша ходити• ꙁапрѣти бо имъ б҃ъ• и одъжди имъ маньнѹ ꙗсти:|
87a| а не оставлꙗти на ѹтрѣи: и прѣслѹшавъшемъ и оставьшѥмъ до ѹдра: въскꙑпѣ чръвьми и въсмръдѣ сѧ• ѥжѥ на бечестие и ѹкориꙁнѹ бꙑ҇ⷭ прѣслѹшавъшиимъ• ꙗко ослѹшаниемъ и самои маннѣ• чръвемъ и смрадѹ бꙑвъши винѣ• ꙗвлѧѥтъ бо сѧ прѣжде того• ничесоже такого бꙑвъша• ꙁане паче пишти анг҃лсцѣ сѫшти: Ꙗкожѥ рече• хлѣбъ анг҃скъи ꙗстъ чловѣкъ• И сн҃а ил҃ева офни и финеес• не послѹшастѥ|
87b| гласа оц҃а своѥго• и сего ради г҃ъ• самъ ѹбо и сн҃ꙑ и҃ілевꙑ погѹби орѹжиѥмь• А ковьчегъ въ рѹкꙑ тѹждеплемѥньникъ прѣдасть• ꙗкоже и при насъ бꙑ҇ⷭ люди ѹбо халдѣи иꙁбиша орѹжиѥмь• посрѣдѣ иіл҃ма и не бѣаше погрѣба ѫштааго• А кр҃ть вь асѹриѧ отъсѥли• такожде и саѹлъ• прѣобидѣвъ ꙁаповѣдь бж҃ьѭ• осѹѥтѣ• и цр҃ства испаде• и горъкѹ съмръть приꙗтъ• И много плачѧ о немъ про҇ⷦ самоиль•|
87c| и б҃а молѧ• ничесоже ѥмѹ ѹспѣ• нъ послѣждѥ слꙑша отъ про҇ⷦ: Добро ѥстъ слѹшаниѥ паче жрътвꙑ• и послѹшаниѥ паче тѹка овьнѧ• Се ѹбо въ бж҃ствънѣмь ѱании• А непослѹшъливъ ѹченикъ• ꙗко и дрѣво раꙁвраштѥно• и не исправить сѧ обличаемъ часто• и несъгласьнъ братъ• ꙗко шѫма дꙑханиѥ вѣтръно• бесъгласиѥмь врѣждаѥмъ• объштааго гласа• ꙗкожѥ трѹтъ трѹдъ бъчелинъ ꙗстъ•|
87d| тако и нѥтрѥбивъи братъ• прокѹждаѥть дрѹжинꙑ благовольно дѣаниѥ: и ꙗкожѥ страшивъ воинъ рѫкꙑ боръцъ ослабѧѥтъ• тако и чрънъцъ лѣнивъ• братиѧ спѣшъѥ слабитъ• Въꙁбоимъ сѧ ѹбо братиѥ: толиковꙑихъ притъчъ и бѣжимъ гѹбѥниꙗ прѣслѹшънааго• да не съ проварьшиими осѫждени бѫдемъ• каꙗ бо льꙁѧ ѥстъ• тѣло дѣвьствьно съблюдъши• а дш҃ѫ прѣслѹшаниꙗ бѣсомъ опрѣлюбодѣати• или како вѣньчаѥтъ|
88a| сѧ• иже ласкръдиѫ и вьсеи похоти въстѧгнѫвъ• вѥличаниѫ же и славолюбиѫ не одолѣвъ• Гл҃еть жѥ и притъчъникъ• сн҃ъ хꙑтръ послѹшъливъ оц҃ю• сн҃ъ же ослѹшъливъ• въ погꙑбѣль бѫдеть• И па҇ⷦ• понежѥ ꙁъвахъ и не послѹшасте• нъ отъметьнꙑ творѧасте моꙗ съвѣтꙑ• тѣмьже ѹбо и аꙁъ вашеи погꙑбѣли посмѣѫ сѧ• бѫдетъ бо ѥгда поꙁовете мѧ• аꙁъ же не въспослѹшаѫ• въꙁиштѫть бо мене ꙁълии и не обрѧштѫть•|
88b| ꙁане страха г҃нѧ не иꙁволиша• тѣмьжѥ ѹбо сънѣдѧть своѥго пѫти плодꙑ• И па҇ⷦ• не нечьстѹи много• и не бѹди жестокъ• да не ѹмьреши въ беꙁгодиѥ своѥ• И па҇ⷦ ѹкланѧи ѹхо своѥ не слꙑшати ꙁаконъ• и тъ мл҃твѹ своѫ омраꙁить• И инъ• оставѧꙗи хранити каꙁание мт҃ръне• поѹчить сѧ гл҃омъ ꙁъломъ• И па҇ⷦ• сѣѧи ꙁълоѥ• пожънеть ꙁълоѥ• некаꙁанѣѥмь же ѹтъкнеть сѧ съмръть• Гл҃еть же и иеремиѧ• обратите сѧ кь мьнѣ|
88c| гл҃еть г҃ъ• и нѥ бѣ слѹшаѫштааго• И ап҃лъ аштѥ ли къто нѥ послѹшаѥть васъ• посъланиѥмь сего ꙁнаменаитѥ• и не примѣшаитѥ сꙗ ѥмь да сѧ срамить• И къ титѹ речѥ• сѫть бо мноꙁи нѥпокориви• сѹѥсловьцї и ѹмольстьци ꙗжѥ подобаѥть въꙁдръжати• И къ ѥврѣомъ• лишѥ жѥ подобаѥть вънимати намъ ѥда когда отъпадѥмъ• останѣмъ ѹбо любии съмрътьнꙑꙗ сѥ ослѹхꙑ• и послѹшъливи бѹдѣмъ|
88d| при вьсѥмь дх҃овьнꙑ ихъ оц҃ъ нашихъ• Да ѹслꙑшимъ отъ г҃а• слѹшаꙗи васъ• мѥнѥ слѹшаѥть• а приемлѧи вꙑ• мѧ приѥмлеть• а мѧ приѥмѧи• приѥмлеть посълавъшааго мѧ• емѹже слава въ вѣкꙑ вѣкомь АМИН л҃ѳ ⁘ + Ꙍ КЛЕВЕТАНИИ ⁘ Лютъ естъ и клеветьнъ врѣдъ• паче же диꙗволъ• по реченѹмѹ о немь въ ѱалъмѣхъ•|+ ѡ послѹшаѫщиіхъ клеветꙑ
89a| съмѣрить клеветьника• враꙁи бо сѫште и б҃ѹмръꙁъци клеветьници• съобъштъници и съприснъници• и сънаслѣдъници бꙑваѫть• продавьшиимь и распьнъшиимь истинѫ• ѥже есть г҃а нашего і҃су х҃а• аꙁъ бо есмь рече истина и животъ• Повѥлѣваѥть ѹбо и ꙁаконъ гл҃ѧ• не бѹди послѹхъ на вьсѫ неправьдѹ и съгрѣшениѥ• Аште ѥ съгрѣшилъ• прѣдъ ѹстꙑ рече дъвою или трии послѹсѣхъ да станеть вьсь гл҃ъ• Саѹлъ же прѣстѹпивъ|
89b| ꙁаповѣдь сиѭ• три съта жьръць г҃нъ ѹби• послѹшьствомь• единого клеветьника доика сурина• И па҇ⷦ• да не оклеветаеть къжъдо васъ искрънѧаго своего• и притъчъникъ• оклеветаваꙗи ѹбогааго• раꙁдражаеть сътворъшааго И приводить• слава мѫжѫ отъвраштати сѧ клеветꙑ• вьсъ же беꙁѹмънъ• тѣми обѧжеть сѧ• Дв҃дъ же• мнѣ же ѹбо миръно гл҃аахѹ и на гнѣвъ льсти помꙑшлѧахѫ• и молить сѧ гонеꙁнѹти отъ клеветꙑ|
89c| чл҃чѧ• и обѣштаваѥть сѧ хранити ꙁаповѣди ѥго• И па҇ⷦ покрꙑи мѧ отъ съньма ꙁълобивꙑихъ• ижѥ иꙁостриша ꙗко орѹжиѥ ꙗꙁ҃кꙑ своѧ• И приводить блаженъ мѹжъ ѥмѹже не въмѣнитъ г҃ъ грѣха• нижѥ ѥсть вь ѹстѣхь ѥго льсти• И инъ• оклеветаꙗи ѹбога• много творить себѣ ꙁъло• И притьчьникъ рече• мѫжъствьнъи вь нечьстии• оклеветаваеть ништаꙗ• И па҇ⷦ львъ алча• и влъкъ жѧждѧ• ижѥ обидить|
89d| ништаѧ• сьи ꙗꙁ҃къ ѹбогъ• и цр҃ъ скѫдьнъ ѹрокꙑ• великъ клеветъникъ• иꙁдрꙑваꙗи ꙗмѹ искрънюмѹ• въпадеть сѧ въ нѫ• И еклисиастъ• обратихъ сѧ аꙁъ и видѣхъ вьсѧ клеветꙑ бꙑваѫштаꙗ подъ сл҃нцемь• и се слъꙁꙑ оклеветаѥмꙑихъ• и нѣсть ихъ ѹтѣшаѫштааго• И па҇ⷦ• клеветание въꙁмѫштаеть мѫдрааго• и погѹбѧеть ср҃це благородивааго• г҃ъ же сп҃сеть сн҃ꙑ ѹбогꙑхъ и съмѣрить клеветьника: Оутвръдимъ|
90a| сѧ ѹбо сами братие: отъ въсѥꙁълꙑꙗ клетꙑ• боꙗште сѧ горъкꙑѧ мѫкꙑ дѣѫштиихъ ѫ• Отврънъ же павьловоѥ съ павьломь въспоимъ• оклеветаѥми благословимъ• гоними ѹдръжимъ сѧ• хѹлими молимъ сѧ• ꙗко отрѥби бꙑхомъ вьсѣмъ попьраниѥ• Не бѫдѣмъ осѫждени съ врагꙑ хв҃ꙑ иѫдеи• ижѥ пришъдъше къ пилатѹ на г҃а гл҃аахѹ• сего обрѣтохомъ раꙁвращающа ꙗꙁ҃кꙑ• и бранѧща|
90b| кесарѹ даꙗти дани• и гл҃ѫшта себе маꙁаньна цр҃ѧ сѫшта• тъ же въсѥ ꙗко агнѧ неꙁълобиво тръпѧше: емѹже слава въ вѣкꙑ вѣкомь: АМИН м҃ ⁘ Ꙍ ТАТЬБѢ ⁘ Сь ꙁьлокъꙁнивꙑи татьбънъи бѣсъ• пръвое ѹбо отъ малъихъ вештьи начънеть• и постѫпѧ• на велика и тлъстаꙗ съходить• коежъдо|
90c| бо бꙑваемꙑихъ• отъ мала начънеть• и по части питаемо• приеметъ въꙁдрастѥниѥ• ꙗко сѣть ѥстъ многоплетѥна ꙁълобьнаꙗ къꙁнь• обѧꙁавъи сѧ хѹдѣ• аште облѣнить сѧ• то обьдръжънѣ ꙁатѧжеть сѧ• хѹда бо малаꙗ речеть• ничътоже сѫть нѣсть грѣхъ• таче ѹже обꙑчаѫ дръжаштѫ• Ꙗко гангрена жиръ обрѧштеть• обꙑчаи бо рече• вътороѥ естьство• и многомь трѹдомь|
90d| къто свободить сѧ• погосподовань имь• аште беꙁъ ослабꙑ и бе-стѹда пристѹпить къ вл҃цѣ х҃ѹ• мл҃твоѫ и постомь и милостꙑнеѫ• къ іс҃у гл҃ѧ• свободи мѧ вл҃ко• ꙗко и сьпропьненааго ти раꙁбоиника• и левьгиѫ и ꙁакъхеа мꙑтоимьца• подобаеть же и слъꙁꙑ принести ѥмѹ• ꙗко слъꙁꙑ• приемлемꙑ имь сѫтъ• и видѧ б҃ъ покаание его• подасть ѥмѹ добрѹ мꙑслъ• да не начънеть хотѣти тѹждиихъ•|
91a| Хотѧи ѹбо ꙗкоже рѣхомъ• бѥꙁаконьнааго сего дѣланиꙗ свободѹ ѹлѹчити ѹдомъ• бѥꙁъимѣниѥмь и малоѣдѥниѥмъ и млт҃воѫ• и грѧдѹштиихъ чааниемь ѹдобь свободить сѧ• хранѧи ѹбо ꙁаконъ• хранимъ ѥсть ꙁаконодавьцѥмь хм҃ь• Не лѣнимъ сѧ ѹбо въꙁлюбениї• въ скорѣ иꙁбавити сѧ таковааго стѹда• естъ бо врѣдъ сь• бѣдьногонеꙁьнь• имьже радостьнѣ ꙗвлѧеть сѧ татьбꙑ хотѣти|
91b| тѹждиимъ• и мьнѧ сѧ ѹлавлѧти не своꙗа• Припрѧжена жѥ ѥсть татьбѣ и лъжа и клевевѥта• рѥче бо ꙁаконъ• не ѹкради не сълъжи ни оклеветаи искрънѧаго своѥго• Ахарь же прѣстѫпьникъ ꙁаконѹ и ꙁаповѣди бꙑвъ• ѹкрадѥ отъ наложениꙗ ѱелиѫ и ꙗꙁ҃къ ꙁлатъ• и дидрагъма• дъвѣ сътѣ• и грѣхъ ѥго дѣльма• людиѥ гꙑбнѣахѫ• аште не бꙑ ѹгодьникъ іс҃ъ въꙁъпилъ къ г҃ю•|
91c| и ть ꙗви и емѹ• и рече іс҃ъ чъто ꙗко погѹби нꙑ• потрѣби тѧ г҃ъ• и въсприꙗ равьномѣриѥ татьбѣ ꙁаконопрѣстѹпениꙗ• камениемь бо побишѧ и вьси людиѥ съ вьсѣми своими его и ѹмрѣшѧ• И пр҃ркъ ꙁахариꙗ о таковꙑихъ рече• и вънидеть клѧтва въ домъ татинъ• и въ домъ ретьничь• и витаеть посрѣдѣ домѹ его• имать же тать• и клѧтие съпомагаѫште•|
91d| тѣмьже вьсѧ татьба проклѧта• Притьчьникъ же• на пѫти нечьстивꙑихъ не наиди• ѹклони сѧ отъ нихъ и кромѣ иди• нечьстие бо естъ• еже тѹждаꙗ своꙗ творити• И приводить: аште бо бꙑша ходили стьꙁѧми благꙑими• обрѣли бꙑшѧ пѫть правьдꙑ• И павлъ ѹча рече• не дадите мѣста неприꙗꙁни• крадꙑи• къ томѹ да не крадеть• паче жѥ да трѹждаеть сѧ дѣлаꙗ рѹкама|
92a| своима благое• да имать подаѧти неимѹштюмѹ• И па҇ⷦ• поꙁна г҃ъ сѫщаꙗ его• и да отъстѹпитъ + неправьдꙑ вьсь именѹѧ имѧ гн҃е• И приносить• аште ѹбо къто оцѣстить сѧ отъ сихъ• бѫдеть съсѫдъ въ чьсть сш҃тенъ• И присꙑлаеть къ титѹ• рабомъ своимъ г҃мъ покарѧти сѧ• о вьсемь ѹгодьникомъ бꙑти• не прѣког҃лѫште• не крадѹште• нъ вьсѫ вѣрѫ ꙗвлѧѫште благѫ• аште бо отъ своего ѹкрадъшаꙗ•|+ ѿ
92b| такѹ съмрътъ приꙗста• ананиꙗ и сапфира• ꙗже въ дѣаниихъ мѣнѫ• кольми пачѥ иже отъ тѹждиихъ• татьба бо• обраꙁъ ѥстъ отъстѹпити отъ истинꙑ• паче жѥ виновьно• вл҃дча прѣданиꙗ• ѱано бо естъ вꙑ-иоанньсцѣмь евангельи• г҃ла же ѥдинъ ѹченикъ его• иѫда симонъ• искариотѣнинъ• чесо ради муро сѥ не продано бꙑ҇ⷭ на тръхъ сътѣхъ пѣнѧꙁъ и дано ништиимъ• се же рече• не ꙗко о ништиихъ|
92c| печааше сѧ• нъ ꙗко тать бѣ• и ковьчежьць имꙑ• и въмѣтаемаа ношааше• Г҃ъ же длъготръпънѣ вьсѥ тръпѣаше емѹже слава въ вѣкꙑ вѣкомь АМИН м҃а ⁘ Ꙍ ЛЪЖИ ⁘ Лъжа• бъхъма отъречена есть кръстьꙗномъ• ꙗкоже бо истинословьць• рабъ ѥсть истиннѹмѹ словѹ•|
92d| тако и лъжѥсловьць• лъжѥсловесивѹмѹ• паче же оц҃ю лъжи• имьже бо къто одолѣваемъ есть• томѹ и работьнъ е• боле бо инѣхъ страстьи чюемъ ꙗко грѣхъ есть• а лъжа отъ воньства• никътожѥ ꙗко люто и гѹбительно ѥсть• Ꙁѣло же ст҃ꙑими кънигами отъречено ѥсть• ꙗко люште вьсѣхъ врѣдовъ• Ꙗкоже бо ѹста нелъживааго: сш҃таѫть сѧ отъ истинꙑ• Аꙁъ бо ѥсмь истина рече г҃ъ• тако|
93a| оскврънѧеть сѧ лъжꙗ и отъ о҃ца своѥго диꙗвола• лъжа бо отъ неприꙗꙁни естъ• ꙗкоже г҃ъ ꙗвѣ ѹчить• любѧи ѹбо истинѫ• ꙗвѣ ѧко г҃а любить• Пръвоѥ ꙁаконъ повелѣваѥть• нѥ лъжѥсъвѣдѣтелюи на искрънѧаго своего съвѣдѣтельства лъжа• отъ вьсѥго г҃ла неправьдьна отъстѹпи• И прѣмѹдрость• ѹста облꙑгаѭшта погѹбѧть д҃шѹ: И па҇ⷦ• не ори лъжѧ на брата своѥго• и не въсхотѣи лъгати вьсеꙗ|
93b| лъжа• воиньство бо ѥѧ не на благо• И па҇ⷦ: раждиꙁаеть лъжѹ съвѣдѣтель неправьдьнъ• и насꙑлаѥть сѫдꙑ посрѣдѣ братиꙗ: Исаиꙗ же о приснолъживꙑихъ людехъ сице рече• ѹкориꙁноѫ ѹстенноѫ: и ꙗꙁ҃комь дрѹгꙑимь• И па҇ⷦ• и положихомъ лъжѫ ѹпъвание нашѥ• и лъжеѫ покрꙑѥмъ сѧ• И иеремиꙗ• ꙗко лъжа а не вѣра прѣможе на ꙁемли• Дв҃дъ же• с҃нове тѹжди сълъгаша ми• сн҃ове тѹжди обетьшашѧ• и охръмѫ|
93c| отъ стъꙁъ своихъ• кромѣ бо сѫште истинꙑ• храмѹть съвраштъше сѧ• правааго пѫти• сирѣчъ отъ г҃а• аꙁъ бо ѥсмь пѫть и истина и животъ рече г҃ъ• и враꙁи Гн҃и сълъгашѧ емѹ• и сего ради въꙁненавидѣ всѧ творѧштаꙗ беꙁаконие• . . . . . . . . . . . . • и погѹбѧѥть всѧ гл҃ѫштѧꙗ лъжѫ• ꙗко сълъга неправьда себѣ• ѹстьнꙑ бо льстивꙑ въ ср҃ци г҃люшта лъжѫ• Прм҃дрꙑи же соломонъ• дъвоѥго прошѹ|
93d| рече къ б҃ѹ ѹ тебе• не отъими отъ мене благодѣти прѣжде ѹмрътиꙗ ми• сѹетьно слово и лъже• далече мене сътвори• мръꙁость бо г҃ю ѹстьнꙑ лъживꙑ• творѧи же вѣрꙑ• приѧтъ имь• А иже ѹтвръждаеть сѧ на лъжахъ• сп҃сеть вѣтрꙑ• лъживъ бо ꙗꙁ҃къ• ненавидить истинꙑ• И па҇ⷦ• не бѹди лъжъ послѹхъ на свои гражданинъ• сирѣчъ на свои ѥдиновѣрьникъ• ни шири сѧ своима ѹстьнама• И инъ|
94a| порокъ ꙁълъ чл҃кѹ лъжа• вѣрьнъ же послѹхъ не льжеть• И па҇ⷦ• неꙁълобивъи вѣрѹеть вьсемѹ словеси• вьседѣи же приходить въ покаание• И па҇ⷦ• не ключите сѧ ѹстьнѣ беꙁѹмью вѣрънѣ• ни правьдьникѹ ѹстьнѣ лъживѣ• И приводить• ѹне есть тать• неже лъжаи въинѭ• Ап҃лъ же павлъ• не лъжите дрѹгъ дрѹгѹ• нъ отъложъше лъжѫ гл҃ѣте же истинѫ къжъдо къ искрьнюмѹ своемѹ• и въ дѣаниихъ петръ• ананиꙗ почъто рече наплъни|
