3563,кьнігъі
102,его
574,інъ
41,же
1526,пріемъ
4928 10,копі|е
3965 63,пробо|де
119,емоу
1977,ребра
15,і
708,ізіде
878,вода
15,і
4183,кръвъ
258,ісъ
41,же
737 4946,възь|півъ
2040,гласомъ
267 286,велі|емъ
98 981,іс|поусті
647,дхъ
15,і
75,се
97 116 211 116 18 105,ка|та|пе|та|з|ма
393 2667 940,цр|ковь|наа
4693,раздъра
57,сѧ
54,съ
5017,въішьнѣаго
581 32,кра|ѣ
90,до
43 206 2030,ні|жь|нѣаго
47,на
33 641,д|вое
15,і
1527,землѣ
51 1966 75,по|трѧ|се
57,сѧ
15,і
2908,каменіе
665 1963 148,рас|пада|аше
57,сѧ
15,і
527 141,гро|бі
3550 57,отврѣ|сѧ
57,сѧ
15,і
891 16,многа|а
2675,тѣлеса
2465 4064,почі|въшііхъ
3570,стъіхъ
4441,въсташѧ
15,і
4075,ішедъше
144,із
527 215,гро|бь
51,по
39,въ
51,по
3469 43,въскръсе|ні
102,его
3810,вънідѫ
39,въ
228,стъі
533,градъ
15,і
1009 99,ѣві|шѧ
57,сѧ
2215,многомъ
131 128 2804,сь|ть|нікь
41,же
15,і
182,іже
692,бѣахѫ
131,сь
595,німь
3222 84,стрѣгѫ|ште
296,іса
989,відѣвъше
1935 131,трѫ|сь
15,і
2497 16,бъівъша|а
2971,оубоѣшѧ
57,сѧ
646,зѣло
556,глѭште
138 115 147,въі|сті|нѫ
325,снъ
659,бжіі
103,бѣ
131,сь
325,снъ
659,бжіі
103,бѣ
692,бѣахѫ
41,же
247,тоу
1605,женъі
706,многъі
144,із
1093,далече
3020 285,зьрѧ|штѧ
600,ѧже
478,ідѫ
51,по
2153,ісѣ
74,отъ
2764,галілеѧ
3986 285,слоужѧ|штѧ
119,емоу
39,въ
400,ніхъ
41,же
103,бѣ
4669,маріа
2951,магдалъіні
15,і
1005,маріѣ
3380,іѣковлѣ
283 495,іо|сіі
2876,мті
2003,сноу
3105 11 324,зеведе|о|воу
2394,поздѣ
32 10,ѣ|е
1080,бъівъшоу
338,пріде
1119,члкъ
1776,богатъ
74,отъ
2842 105 3 758,арі|ма|ѳ|еѧ
3207,іменемъ
1900,іосіфъ
182,іже
15,і
38,тъ
379,оучі
57,сѧ
37,оу
296,іса
131,сь
3448,прістѫпль
260,кь
2693,пілатоу
490,просі
2692,тѣла
98 64,іс|ва
783,тогда
655 31,піла|т
370,повелѣ
39 645,въ|даті
699,тѣло
4068,ісво
15,і
1526,пріемъ
699,тѣло
1900,іосіфъ
712 38,обі|тъ
10,е
476 48 32 43 1117,пла|шт|ѣ|ні|цеѭ
2695 2,чісто|ѭ
15,і
648,положі
10,е
39,въ
69 1375,но|вѣмъ
2018,своемъ
2888,гробѣ
182,іже
2153 72,ісѣ|че
39,въ
2892,камені
15,і
143 64 134,въз|ва|ль
1309,камень
2633,веліі
47,на
1787,двьрі
1760,гроба
15,і
1157,отіде
103,бѣ
41,же
247,тоу
1005,маріѣ
2951,магдалъіні
15,і
2956,дроугаѣ
1005,маріѣ
911 150,сѣдѧ|шті
4148,прѣмо
2922,гробоу
39,въ
2820 182,оутрѣ|іже
140,естъ
51,по
3914 2229 4927,параск|ев|гіі
2273,събърашѧ
57,сѧ
835,архіереі
83,къ
2693,пілатоу
39,въ
4248,оутрѣі
182,іже
140,естъ
51,по
3914 2229 4927,параск|ев|гіі
1246,глште
222,гі
2900 124 13,помѧнѫ|хо|м
86,ѣко
134 194 282,ль|сте|ць
274,онъ
120,рече
721,еште
1202,жівъ
264,съі
51,по
4305,трехъ
95 4300,дъ|нехъ
368 147,въста|нѫ
2446,повелі
180,оубо
1418 1341,оутвръ|діті
1586,гробъ
90,до
4898 172,третіѣ|аго
509,дьне
613,еда
280,како
1913,прішедъше
465,оученіці
102,его
1772 406,оукра|дѫтъ
15,і
15,і
1838,рекѫтъ
2095,людемъ
368,въста
74,отъ
716 524 8,мрът|въіі|х
15,і
273,бѫдетъ
1993 3743,послѣдь|нѣа
117 169,ле|сть
4051 106,гор|ші
505 1440,пръ|въіѧ
120,рече
41,же
114,імъ
955,пілатъ
921,імате
190 160 4764,коу|сто|діѭ
1588,ідѣте
1418 363,оутвръ|діте
242,ѣкоже
890,вѣсте
493,оні
41,же
2150,шедъше
1418 1644,оутвръ|дішѧ
1586,гробъ
107 211 4413 1925 248,за|пе|чѣ|тьлѣ|въше
1309,камень
54,съ
190 160 73 1932,коу|сто|ді|еѭ
54,съ
190 160 73 1932,коу|сто|ді|еѭ
39,въ
3939,вечеръ
2953 108,сѫботъ|нъі
1023 116 1371,сві|та|ѭшті
39,въ
505 2246,пръ|вѫѭ
2953,сѫботъ
338,пріде
1005,маріѣ
2951,магдалъіні
15,і
2956,дроугаѣ
1005,маріѣ
2702,відѣтъ
1760,гроба
15,і
75,се
1935 54,трѫ|съ
271,бъістъ
3788,велеі
2130,англъ
66,бо
1873,гнъ
131 383,сь|шедъ
54,съ
1414,нбсе
3448,прістѫпль
4005 61,отъва|лі
1309,камень
74,отъ
942 785,двь|ріі
1760,гроба
15,і
2598,сѣдѣаше
47,на
442,немь
103,бѣ
41,же
18 53 260,з|ра|кь
102,его
86,ѣко
1457 220,млъ|ніі
15,і
11 1172 161,о|дѣа|ніе
102,его
103 88,бѣ|ло
86,ѣко
2806 300,снѣ|гь
74,отъ
2338,страха
41,же
102,его
1966 131 145,трѧ|сь|сѫ
57,сѧ
3222 488,стрѣгѫ|штіі
15,і
637,бъішѧ
586,акъі
716 70,мрът|ві
4899,отвѣштавъ
41,же
2130,англъ
120,рече
683 105,жена|ма
46,не
2439 116,боі|та
57,сѧ
138,въі
288,вѣдѣ
66,бо
86,ѣко
296,іса
2622 3838,распѧ|тааго
2686 116,іште|та
481,нѣстъ
802,сьде
368,въста
66,бо
242,ѣкоже
120,рече
78 3714,прі|дѣта
15,і
642 116,віді|та
592,мѣсто
579,ідеже
117 221,ле|жа
300,гь
15,і
2178,скоро
383 106,шедъ|ші
110 162 116,рь|цѣ|та
809,оученікомъ
102,его
86,ѣко
368,въста
74,отъ
2694,мрътвъііхъ
15,і
75,се
4736 217,варѣ|етъ
138,въі
39,въ
2464,галілеі
247,тоу
15,і
1696,оузьріте
75,се
710,рѣхъ
2102,вама
15,і
1494 106,ішедъ|ші
23 826,ѧ|дро
74,отъ
1760,гроба
54,съ
2884,страхомъ
15,і
2387,радостіѭ
267 1932,велі|еѭ
171 194,тѣ|сте
1833 38,възвѣсті|тъ
809,оученікомъ
102,его
15,і
75,се
258,ісъ
3929,сьрѣте
32,ѣ
350,глѧ
2572 116,радоуі|та
57,сѧ
2205,онѣ
41,же
1430 106,прістѫпь|ші
23 194,ѧ|сте
57,сѧ
107,за
888,нозѣ
102,его
15,і
1424 194,поклоні|сте
57,сѧ
119,емоу
783,тогда
112,гла
202,іма
258,ісъ
46,не
2439 116,боі|та
57,сѧ
4149,ідѣта
15,і
1833 116,възвѣсті|та
4677,братіі
1655,моеі
55,да
478 31,ідѫ|т
39,въ
2471,галілеѭ
15,і
247,тоу
142,мѧ
727 457,відѧ|дѧтъ
478 3074,ідѫ|штема
41,же
202,іма
75,се
3249,етері
179,от
190 160 73 23,коу|сто|ді|ѧ
1913,прішедъше
39,въ
533,градъ
4303,вьзвѣстішѧ
3392,архіереомъ
840,въсѣ
2497 16,бъівъша|а
15,і
3344 99,събьра|шѧ
57,сѧ
3608,старці
3615,сьвѣтъ
41,же
1397 71,сътворь|ше
3458,съребро
584,много
2984,дашѧ
3803,воіномъ
1246,глште
3195,рьцѣте
86,ѣко
465,оученіці
102,его
2302,ноштіѭ
1913,прішедъше
1772 677,оукра|дошѧ
15,і
378,намъ
131 419 711,сь|пѧ|штемъ
15,і
163,аште
75,се
1092 69,оуслъіша|но
273,бѫдетъ
37,оу
2979 3802,іге|мона
184,мъі
37 1317 44,оу|толі|мъ
15,і
15,і
138,въі
1142,бес
761 35 108,печа|л|нъі
212 13,сътворі|м
493,оні
41,же
1526 71,пріемъ|ше
22 1559,с|ребро
1334,сътворішѧ
242,ѣкоже
47 225,на|оучені
637,бъішѧ
15,і
135 87 72,про|мь|че
57,сѧ
364,слово
75,се
39,въ
479 123,іюде|іхъ
15,і
90,до
275,сего
509,дьне
3566,едінъі
41,же
47,на
684,десѧте
951,оученікъ
478,ідѫ
39,въ
2471,галілеѭ
39,въ
1538,горѫ
2378,ѣможе
370,повелѣ
114,імъ
258,ісъ
3566,едінъі
47,на
684,десѧте
225 12,оучені|к
15,і
196 989,відѣ|відѣвъше
15,і
4432,поклонішѧ
57,сѧ
119,емоу
1024,ові
41,же
37 145 485 99,оу|сѫ|мнѣ|шѧ
57,сѧ
15,і
563 459,прістѫ|плъ
258,ісъ
120,рече
114,імъ
350,глѧ
3067,дана
89,мі
10 42,е|ст
4449,вьсѣка
1184,власть
47,на
3429,нбсі
15,і
47,на
611,земі
2150,шедъше
180,оубо
47 707,на|оучіте
3044,въсѧ
1287 130,ѧз|къі
815 1403 84,кр|стѧ|ште
23,ѧ
39,въ
385,імѧ
539,оца
15,і
560,сна
15,і
4042 172,стаа|аго
1830,дха
1223 84,оучѧ|ште
23,ѧ
4776,блюсті
224,вьсѣ
685,еліко
1978 62,заповѣда|хъ
2271,вам
15,і
75,се
582,азь
131,сь
1136,вамі
999,есмь
39,въ
57,сѧ
416,дьні
90,до
996 236,съконьча|ніѣ
64 97,ва|ка
573,амін
90,до
468 9 185 236,ско|н|ча|ніѣ
59 12,вѣ|к
573,амін
107 249 88,за|чѧ|ло
2229 27 896,ев|г|ліѣ
98 423,іс|хва
560,сна
1179,бжіѣ
242,ѣкоже
140,естъ
1928,пісано
39,въ
1681 993,прр|цѣхъ
75,се
231,азъ
4161,посълѭ
2130,англъ
250,моі
319,прѣдъ
2829,ліцемъ
1263,твоімъ
15,і
803 759,оугото|вітъ
882,пѫть
386,твоі
2827,глас
1714 2034,въпі|ѭштааго
39,въ
1374,поустъіні
939 334,оуготова|іте
882,пѫть
1873,гнъ
186 138,пра|въі
1192,творіте
169 1465,сть|зѧ
102,его
649,бъіс
1058,іоанъ
815 1403,кр|стѧ
39,въ
1374,поустъіні
2909,проповѣдаѧ
815 48 65 161,кр|шт|те|ніе
39,въ
544 1112 43 161,оста|вле|ні|ніе
265 2946,грѣ|ховъ
3800,ісхождааше
41,же
260,кь
321,немоу
516,всѣ
3268,іюдеіска
238 47,стра|на
2227 22 1208 46,іер|с|млѣ|не
15,і
815 2941,кр|штаахѫ
57,сѧ
1111,всі
179,от
426,него
39,въ
3133 55 9 1962,ер|да|н|стѣі
76 162,рѣ|цѣ
899 310,ісповѣда|ѭште
1627,грѣхъі
504,своѧ
103,бѣ
41,же
1058,іоанъ
3483,власъі
3894 1471,вельбѫ|жді
15,і
1709 54,поѣ|съ
37 22 236 68,оу|с|ніѣ|нъ
1166,імъі
11,о
1161 315 62,чрѣ|слѣ|хъ
686,своіхъ
15,і
2701,ѣдъі
16 1722 73,а|крі|ді
15,і
137 95,ме|дъ
73 1262,ді|віі
15,і
960 148,проповѣда|аше
350,глѧ
1392,грѧдетъ
754 1283 15,крѣ|пле|і
227,мене
862,емоуже
1915,нѣсмъ
1488,достоінъ
1893 9,покло|н
57,сѧ
2126 2628,раздрѣ|шіті
82 227,ре|мене
125 618,са|погоу
102,его
582,азь
180,оубо
815 79 123,кр|сі|іхъ
39,въ
4318,водоѭ
16,а
38,тъ
815 2969,кр|стітъ
138,въі
2564,дхмъ
2119,стъіімъ
708,ізіде
258,ісъ
39,въ
2854,поусто
592,мѣсто
15,і
247,тоу
2799 3470,мл|твѫ
1693,дѣаше
15,і
300 1718,гь|нашѧ
15,і
1628,сімонъ
15,і
182,іже
131,сь
595,німь
692,бѣахѫ
15,і
4271,обрѣтъше
15,і
1291,глашѧ
119,емоу
86,ѣко
1190,въсі
2029 38,іскѫ|тъ
523,тебе
15,і
112,гла
1846,ім
2386,ідѣмъ
39,въ
512 206 3008,блі|жь|нѧѧ
1190,въсі
15,і
2770,градъі
55,да
15,і
247,тоу
2310 91,проповѣ|дѣ
47,на
75,се
66,бо
78 33,прі|д
15,і
103,бѣ
2909,проповѣдаѧ
47,на
3746 528,сьньмі|штііхъ
123,іхъ
60,вь
39 797,въ|сеі
2464,галілеі
15,і
1698,бѣсъі
4191,ізгонѧ
15,і
338,пріде
260,кь
321,немоу
2013 1609,прока|женъ
1311,молѧ
15,і
15,і
47,на
1059 210,колѣ|ноу
1963 23,пада|ѧ
15,і
350,глѧ
119,емоу
86,ѣко
163,аште
1016,хоштеші
222,гі
1795,можеші
142,мѧ
15 149 1960,і|чі|стіті
258,ісъ
41,же
2799 439 691 39,мл|ср|дова|въ
4832,простеръ
944,рѫкѫ
1278,коснѫ
15,і
15,і
112,гла
119,емоу
1614,хоштѫ
15 2356,і|чісті
57,сѧ
15,і
4925 284,рекь|шоу
119,емоу
503,абіе
1157,отіде
135 763,про|каза
74,отъ
426,него
15,і
4748,чістъ
649,бъіс
15,і
1094 513,запрѣ|штъ
119,емоу
503,абіе
15,і
4747,ізгьна
15,і
15,і
112,гла
119,емоу
4501,блюді
57,сѧ
1567,нікомоуже
1150,нічесоже
46,не
1148,рьці
68,нъ
383,шедъ
2344,покажі
57,сѧ
494 1024,іере|ові
15,і
4188,прінесі
107,за
437 1209,очі|штеніе
305,твое
242,ѣкоже
370,повелѣ
4879,мосіі
39,въ
2194 272,сьвѣдѣтель|ство
114,імъ
1576,въніде
258,ісъ
39,въ
2327 20 2794,капе|р|наоумъ
15,і
3998,слоухъ
649,бъіс
86,ѣко
39,въ
643,домоу
140,естъ
503,абіе
3344 99,събьра|шѧ
57,сѧ
765,мнозі
86,ѣко
260,кь
546,томоу
46,не
3232 129 58,въмѣ|шта|ті
57,сѧ
43,ні
78,прі
942 3982,двь|рехъ
15,і
766,глааше
114,імъ
364,слово
15,і
823,прідѫ
260,кь
321,немоу
1097 84,носѧ|ште
2711 47,ослабле|на
111 3911,жі|ламі
907 44,носі|мъ
1638 2571,четъі|рьмі
15,і
46,не
821 84,могѫ|ште
998 58,прістѫпі|ті
260,кь
321,немоу
1752,народомъ
179 1783 99,от|кръі|шѧ
536 2763,пок|ровъ
579,ідеже
103,бѣ
15,і
135 3854 248,про|копа|въше
54 1318 99,съ|вѣсі|шѧ
2384,одръ
47,на
3398,немъже
2711 108,ослабле|нъі
131 3359,сь|лежааше
15,і
553,відѣвъ
258,ісъ
713,вѣрѫ
123,іхъ
112,гла
4654,ослабленоумоу
2593,чѧдо
179 2614 241,от|поушта|ѭтъ
57,сѧ
2514,грѣсі
386,твоі
692,бѣахѫ
41,же
3249,етері
179,от
3464 2804,кьніжь|нікь
911 84,сѣдѧ|ште
15,і
1601 310,помъішлѣ|ѭште
39,въ
822 2724,срд|ціхъ
686,своіхъ
411,чьто
131,сь
244,тако
1335,глетъ
3121 3805,власві|міѭ
4099,кьто
612,можетъ
179 2614 58,от|поушта|ті
1627,грѣхъі
4126,тъкьмо
358,едінъ
189,бъ
15,і
503,абіе
391,разоумѣ
258,ісъ
2564,дхмъ
607,своімъ
86,ѣко
244,тако
1601 241,помъішлѣ|ѭтъ
39,въ
356,себѣ
15,і
120,рече
114,імъ
411,чьто
79,сі
1601 351,помъішлѣ|ете
39,въ
3342 123,срдці|іхъ
1533,вашіхъ
411,чьто
140,естъ
2870 1502,оудобь|нѣе
1222,решті
4654,ослабленоумоу
179 2614 241,от|поушта|ѭтъ
58,ті
57,сѧ
2514,грѣсі
61,лі
1222,решті
2002,въстані
15,і
4164,възьмі
2384,одръ
386,твоі
15,і
922,ході
68,нъ
55,да
37 890,оу|вѣсте
86,ѣко
1184,власть
489,іматъ
325,снъ
537 153,члв|чь
179 2614 58,от|поушта|ті
47,на
611,земі
1627,грѣхъі
15,і
112,гла
4654,ослабленоумоу
281,тебѣ
223,глѭ
2434 43,вьста|ні
15,і
4164,възьмі
2384,одръ
386,твоі
15,і
708,ізіде
503,абіе
319,прѣдъ
1633,вьсѣмі
86,ѣко
73 1300,ді|віті
57,сѧ
840 44,въсѣ|мъ
15,і
209 1300,сла|віті
193,ба
556 44,глѭште|мъ
86,ѣко
1568,ніколіже
807,сіце
1973,відѣхомъ
1577,мімо
1387,грѧдъі
258,ісъ
196,відѣ
117 17 222 2,ле|в|гі|ѭ
1333 3229 1500,ал|фе|ова
911 304,сѣдѧ|шть
47,на
184 128 475,мъі|ть|ніці
15,і
112,гла
119,емоу
51,по
485,мнѣ
2852,грѧді
15,і
1165,въставъ
39,въ
1087,слѣдъ
102,его
259,іде
15,і
649,бъіс
2671 251,възлежѧ|штоу
119,емоу
39,въ
643,домоу
102,его
15,і
765,мнозі
3606,мъітарі
15,і
265 1 475,грѣ|ш|ніці
143 117 2024,въз|ле|жаахѫ
54,съ
98 44,іс|мъ
15,і
1060,оученікъі
102,его
103 158,бѣ|хѫ
66,бо
765,мнозі
15,і
51,по
46 13,не|м
478,ідѫ
15,і
3464 475,кьніжь|ніці
15,і
1254,фарісеі
989,відѣвъше
15,і
2440 513,ѣдѫ|штъ
54,съ
3606,мъітарі
15,і
4551,грѣшьнікъі
874,глаахѫ
809,оученікомъ
102,его
411,чьто
86,ѣко
54,съ
3606,мъітарі
15,і
1615 889,грѣшъ|нікъі
2845,ѣстъ
15,і
170 217,пі|етъ
788,слъішавъ
41,же
258,ісъ
112,гла
114,імъ
86,ѣко
46,не
1338 241,трѣбоу|ѭтъ
2350 1262,съдра|віі
240 185,вра|ча
68,нъ
1792 488,болѧ|штіі
46,не
1560,прідъ
1031 31,прізъва|т
1575 301,праведъ|нікъ
68,нъ
4551,грѣшьнікъі
47,на
3536,покааніе
1181,хождааше
258,ісъ
39,въ
2953,сѫботъ
4659,скозѣ
1992 236,сѣа|ніѣ
15,і
776,начѧ
465,оученіці
102,его
882,пѫть
991,творіті
39 4230 152 310,въ|стрь|га|ѭште
948 264,кла|съі
15,і
1254,фарісеі
874,глаахѫ
119,емоу
2957,віждь
268,что
1415,творѧтъ
39,въ
919 31,сѫбо|т
441,егоже
46,не
1671,достоітъ
15,і
128,ть
112,гла
114,імъ
2369,нѣсте
61,лі
1568,ніколіже
421 61,чъ|лі
411,чьто
212,сътворі
33 95,д|дъ
246,егда
487 66 64,трѣ|бо|ва
15,і
737 1333 97,възь|ал|ка
548,самъ
15,і
182,іже
692,бѣахѫ
131,сь
409,німъ
280,како
1576,въніде
39,въ
90 13,до|м
659,бжіі
78,прі
1542 16 116 76,аві|а|та|рѣ
835,архіереі
15,і
2056,хлѣбъі
319 4004,прѣдъ|ложеніѣ
54 481,съ|нѣстъ
2404,іхъже
46,не
2162 148,достоѣ|аше
1146,ѣсті
128 3471,ть|кьмо
494 1018,іере|омъ
204 96 13,еді|нѣ|м
15,і
307,дастъ
15,і
3271,сѫштіімъ
131,сь
409,німъ
15,і
766,глааше
114,імъ
919 116,сѫбо|та
2100,члка
53 126 105,ра|дь|ма
649,бъіс
16,а
46,не
1119,члкъ
3434,сѫботъі
290,раді
1652 41,тѣмъ|же
300,гь
140,естъ
325,снъ
2068,члчь
4765,сѫботѣ
15,і
1576,въніде
323,пакъі
39,въ
3746 84,сьньмі|ште
15,і
103,бѣ
247,тоу
1119,члкъ
427 158,соу|хѫ
944,рѫкѫ
1166,імъі
15,і
47 3118 177,на|зіра|ахѫ
15,і
163,аште
39,въ
2336,сѫботѫ
1807 183,іцѣлі|тъі
55,да
47,на
104,нь
143 223,въз|глѭ
15,і
112,гла
3296,члкоу
3907,імѫштоумоу
427 158,соу|хѫ
944,рѫкѫ
118 43,ста|ні
51,по
883,срѣдѣ
15,і
112,гла
114,імъ
1671,достоітъ
61,лі
39,въ
2336,сѫботѫ
576,добро
933,сътворіті
61,лі
2372,зьло
933,сътворіті
772,дшѫ
4657,спсті
61,лі
3166,погоубіті
493,оні
41,же
1457 2610,млъ|чаахѫ
15,і
2583,възьрѣвъ
47,на
276,нѧ
3796,гнѣвомъ
4516,скръбѧ
11,о
11 2306 220,о|камене|ніі
822 282,срд|ць
2418,іх
112,гла
3296,члкоу
135 3978,про|стрі
944,рѫкѫ
829,твоѭ
15,і
135 1183 38,про|стрѣ|тъ
15,і
2819,оутвръді
57,сѧ
1180,рѫка
102,его
2350 64,съдра|ва
86,ѣко
15,і
2956,дроугаѣ
770 691 148,послѣ|дова|аше
1267,ісві
824,народъ
414 300,мъно|гь
15,і
37 413 3580,оу|гнѣ|таахѫ
15,і
15,і
75,се
683,жена
3944,етера
2589,сѫшті
39,въ
81 4975,то|ченіі
1360,кръве
1483,лѣтъ
30,б
15,і
15,і
584,много
3974 682,пострада|въші
74,отъ
4606,многь
4874 15,враче|і
15,і
144 55 32 682,із|да|ѣ|въші
1085,въсе
340,свое
15,і
43,ні
431 23,едіно|ѧ
2124 1465,поль|зѧ
1234 106,обрѣтъ|ші
68,нъ
458,паче
39,въ
1187 10,горе|е
4906 106,въпадъ|ші
270 682,слъіша|въші
11,о
2153,ісѣ
746 106,прішедъ|ші
39,въ
4538,народѣ
131,сь
107 73,за|ді
1959,прікоснѫ
57,сѧ
4015,різѣ
102,его
766,глааше
66,бо
86,ѣко
163,аште
1959,прікоснѫ
57,сѧ
2196,понѣ
4015,різѣ
102,его
2110 47,спсе|на
1118,бѫдѫ
15,і
503,абіе
15 57 3076,і|сѧ|кнѫ
3795 301,істочь|нікъ
1360,кръве
758,еѧ
15,і
391,разоумѣ
3427,тѣломъ
86,ѣко
4204,цѣла
140,естъ
179,от
2632,ранъі
15,і
503,абіе
258,ісъ
11 251 58,о|штоу|ті
39,въ
356,себѣ
1337,сілѫ
1494 355,ішедъ|шѫ
179,от
426,него
15,і
2626,обрашть
57,сѧ
39,въ
4538,народѣ
766,глааше
292,кто
1959,прікоснѫ
57,сѧ
4299 62,різа|хъ
1055,моіхъ
15,і
874,глаахѫ
119,емоу
465,оученіці
102,его
1666,відіші
824,народъ
37 413 116 2 513,оу|гнѣ|та|ѭ|штъ
229,тѧ
15,і
1390,глеші
292,кто
1959,прікоснѫ
57,сѧ
485,мнѣ
15,і
11 350 4231,о|глѧ|дааше
57,сѧ
886,відѣті
1397 4019,сътворь|шѫѭ
75,се
683,жена
41,же
1386 682,оубоѣ|въші
57,сѧ
15,і
1201 389 150,трепе|штѫ|шті
2297 150,вѣдѫ|шті
234,еже
649,бъіс
444,еі
338,пріде
15,і
3785,пріпаде
260,кь
321,немоу
15,і
120,рече
119,емоу
740 2,вьс|ѭ
731,істінѫ
274,онъ
41,же
120,рече
444,еі
126 150,дь|шті
2505,вѣра
454,твоѣ
2110,спсе
229,тѧ
733,іді
17,в
89 20,мі|р
788,слъішавъ
2099,іродъ
729,цръ
3998,слоухъ
8 39,х|въ
1668,ѣвѣ
66,бо
649,бъіс
385,імѧ
102,его
766,глааше
86,ѣко
1058,іоанъ
368,въста
74,отъ
2694,мрътвъііхъ
15,і
275,сего
290,раді
1273,сілъі
91 241,дѣ|ѭтъ
57,сѧ
11,о
623,немъ
624,іні
41,же
874,глаахѫ
86,ѣко
2423,іліѣ
140,естъ
624,іні
41,же
874,глаахѫ
86,ѣко
4314,прркъ
140,естъ
86,ѣко
358,едінъ
74,отъ
4314,прркъ
140,естъ
788,слъішавъ
41,же
2099,іродъ
120,рече
86,ѣко
441,егоже
3178 3076 62,оусѣ|кнѫ|хъ
1242,іоана
131,сь
140,естъ
38,тъ
368,въста
74,отъ
2694,мрътвъііхъ
38,тъ
66,бо
2099,іродъ
3443,посълавъ
167,ѧтъ
1242,іоана
15,і
1232,съвѧза
15,і
39,въ
4337,темьніці
3899 16 213,іроді|а|дъі
290,раді
1605,женъі
1472 127,філі|па
2561,брата
435,своего
86,ѣко
11 2579,о|жені
57,сѧ
1932,еѭ
1816,глаше
66,бо
1058,іоанъ
15 2684,і|родоу
86,ѣко
46,не
1671,достоітъ
281,тебѣ
1673,імѣті
1605,женъі
2561,брата
435,своего
3899 16,іроді|а
41,же
773 148,гнѣва|аше
57,сѧ
47,на
68,нъ
15,і
1216,хотѣаше
1690,оубіті
15,і
15,і
46,не
2032,можааше
2099,іродъ
66,бо
66 2805,бо|ѣаше
57,сѧ
1242,іоана
1874,вѣдъі
1182,мѫжа
1575 47,праведъ|на
15,і
118,ста
15,і
467 3728,хра|нѣаше
15,і
15,і
562 39,послоуша|въ
102,его
584,много
2677,творѣаше
15,і
39,въ
209 80,сла|стъ
562 148,послоуша|аше
102,его
15,і
4406 153 284,пріклю|чь|шоу
57,сѧ
416,дьні
1285 215 210,потрѣ|бь|ноу
246,егда
2099,іродъ
100 599 514,ро|ждъ|ствоу
1215,своемоу
1206 884,вече|рѭ
2677,творѣаше
3600 360,кьнѧ|зем
607,своімъ
15,і
2157 513 1475,тъісѫ|штъ|нікомъ
15,і
1725 378,старѣіші|намъ
804 1301 114,галіле|іскъі|імъ
15,і
248 126 106,въше|дь|ші
4094 85,дьште|рі
758,еѧ
3899 2961,іроді|адѣ
3543 125 682,плѧ|са|въші
15,і
2550 762 106,оуго|ждь|ші
15 2684,і|родоу
15,і
2671 496,възлежѧ|штіімъ
131,сь
409,німъ
120,рече
658,црь
3071,дѣвіці
490,просі
37,оу
227,мене
862,емоуже
445 79,хоште|сі
15,і
2848,дамъ
58,ті
15,і
4127,клѧтъ
57,сѧ
444,еі
86,ѣко
441,егоже
490 106,просі|ші
2848,дамъ
58,ті
90,до
1532,полъ
658 675,црь|ства
469,моего
832,она
41,же
383 106,шедъ|ші
120,рече
13 464,м|трі
1339,своеі
1122,чесо
135 355,про|шѫ
832,она
41,же
120,рече
1589,главъі
1242,іоана
815 42 94,кр|ст|лѣ
15,і
1730 106,въшедъ|ші
54,съ
4795 1035,тъшта|ніемъ
260,кь
4212,цроу
490,просі
155 150,гл|шті
1614,хоштѫ
55,да
89,мі
55 79,да|сі
797 173,сеі|ці
47,на
755 91,блю|дѣ
1340,главѫ
1242,іоана
815 42 94,кр|ст|лѣ
15,і
78 914 2367,прі|скръ|бенъ
438,бъівъ
729,цръ
107,за
1565 3470,клѧ|твѫ
15,і
2671 488,възлежѧ|штіі
54,съ
409,німъ
46,не
2371,въсхотѣ
74 1222,отъ|решті
57,сѧ
444,еі
15,і
503,абіе
3443,посълавъ
729,цръ
1238 12 34 56 81 53,спе|к|у|ла|то|ра
370,повелѣ
3546,прінесті
1340,главѫ
102,его
274,онъ
41,же
383,шедъ
3178 3076,оусѣ|кнѫ
15,і
39,въ
4337,темьніці
15,і
2250,прінесе
1340,главѫ
102,его
47,на
755 91,блю|дѣ
15,і
307,дастъ
2,ѭ
3071,дѣвіці
15,і
3049,дѣвіца
307,дастъ
13 464,м|трі
1339,своеі
15,і
1243,слъішавъше
465,оученіці
102,его
823,прідѫ
15,і
143 2388,въз|ѧшѧ
699,тѣло
102,его
15,і
2453,положішѧ
15,і
39,въ
2888,гробѣ
15,і
2273,събърашѧ
57,сѧ
16 2448,а|плі
83,къ
925,ісоу
15,і
3692,възвѣстішѧ
224,вьсѣ
685,еліко
1334,сътворішѧ
15,і
685,еліко
1312 99,наоучі|шѧ
15 71 33,і|ше|д
258,ісъ
179,от
4531,прѣдѣлъ
4069 82 1086,ту|ре|скъ
15,і
4907 46 1086,сідо|не|скъ
338,пріде
47,на
1270,море
804 1239,галіле|іско
1699,междоу
4014,прѣдѣлъі
63 97 2124 289,де|ка|поль|скъі
15,і
3718,прівѣсѧ
260,кь
321,немоу
1858 298,глоу|ха
15,і
96 105,нѣ|ма
15,і
2618,молѣахѫ
15,і
55,да
1515 38,възложі|тъ
47,на
104,нь
944,рѫкѫ
15,і
51 286,по|емъ
15,і
812,едіного
179,от
1482,народа
39 91,въ|дѣ
505 228,пръ|стъі
504,своѧ
39,въ
1259,оуші
102,его
15,і
2448 2800,плі|нѫвъ
