3802,<wb>кьнігъі
105,<wb>да
786,<wb>прідетъ
68,<wb>на
237,<wb>въі
4987,<wb>вьсѣка
4729,<wb>кръвъ
2112 102,<wb>праведъ|на
6839,<wb>проліваема
68,<wb>на
1403,<wb>землѭ
84,<wb>отъ
2596,<wb>кръве
7780 104,<wb>аве|лѣ
2112 482,<wb>праведъ|нааго
156,<wb>до
2596,<wb>кръве
7995,<wb>захаріѧ
732,<wb>сна
3671 16 102,<wb>варахі|і|на
135,<wb>его
766 242,<wb>оубі|сте
1891,<wb>междоу
476 3024 3,<wb>цр|кові|ѭ
39,<wb>і
4421 1821,<wb>олта|ремъ
681,<wb>амін
284,<wb>глѭ
260,<wb>вамъ
2283,<wb>прідѫтъ
913,<wb>въсѣ
747,<wb>сіі
68,<wb>на
6005 349,<wb>родо|сь
2480 3731,<wb>іер|слмъ
5049 794 33,<wb>ізбі|въші|ѣ
1885 148,<wb>прр|къі
39,<wb>і
626 1192,<wb>каме|ніемъ
3927 103 533,<wb>побі|ва|ѭшті
4819 471,<wb>посъіла|нъіѧ
468,<wb>кь
356,<wb>тебѣ
2590,<wb>коль
2827,<wb>кратъі
2608 76,<wb>въсхотѣ|хъ
190 982 52,<wb>сь|бъра|ті
1830,<wb>чѧда
552,<wb>твоѣ
308,<wb>ѣкоже
2081 255,<wb>събіра|етъ
38 302 278 33,<wb>|лѧ|жа|ѣ
44 54 10 532,<wb>п|те|н|цѧ
599,<wb>своѧ
826,<wb>подъ
6647,<wb>крілѣ
39,<wb>і
62,<wb>не
2608 242,<wb>въсхотѣ|сте
121,<wb>се
6945,<wb>оставлѣетъ
70,<wb>сѧ
260,<wb>вамъ
729,<wb>домъ
729,<wb>домъ
1870,<wb>вашъ
558 97,<wb>поу|стъ
284,<wb>глѭ
112,<wb>бо
260,<wb>вамъ
62,<wb>не
1048,<wb>імате
364,<wb>мене
1078,<wb>відѣті
3180,<wb>доідеже
5269,<wb>речете
1036 98,<wb>бл|нъ
1601,<wb>грѧдъі
56,<wb>въ
466,<wb>імѧ
2033,<wb>гне
2558,<wb>прістѫпішѧ
559,<wb>оученіці
468,<wb>кь
1073,<wb>ісоу
7204,<wb>показаті
144,<wb>емоу
720 86 297,<wb>зь|да|ніѣ
7390 1027,<wb>црквь|наа
366,<wb>онъ
71,<wb>же
1353 18,<wb>отвѣшта|в
141,<wb>рече
210,<wb>імъ
62,<wb>не
1369,<wb>відіте
178,<wb>лі
913 9,<wb>въсѣ|х
745,<wb>сіхъ
681,<wb>амін
284,<wb>глѭ
260,<wb>вамъ
62,<wb>не
584,<wb>іматъ
7779,<wb>остаті
978,<wb>сьде
1497,<wb>камень
68,<wb>на
3251,<wb>камені
227,<wb>іже
62,<wb>не
4859,<wb>разорітъ
70,<wb>сѧ
6225,<wb>сѣдѧштоу
71,<wb>же
144,<wb>емоу
68,<wb>на
2077,<wb>горѣ
5050 5325,<wb>елео|ньстѣ
2558,<wb>прістѫпішѧ
468,<wb>кь
398,<wb>немоу
559,<wb>оученіці
135,<wb>его
1440,<wb>глште
2293,<wb>едіномоу
4447,<wb>повѣждъ
489,<wb>намъ
468 211,<wb>кь|гда
159,<wb>сі
969,<wb>бѫдѫтъ
39,<wb>і
394,<wb>что
161,<wb>естъ
1719,<wb>знаменіе
697,<wb>твоего
1782 1228,<wb>пріше|ствіѣ
39,<wb>і
2806 200,<wb>коньча|ніе
1500,<wb>вѣка
6225,<wb>сѣдѧштоу
1073,<wb>ісоу
68,<wb>на
2077,<wb>горѣ
5050 5325,<wb>елео|ньстѣ
2558,<wb>прістѫпішѧ
468,<wb>кь
398,<wb>немоу
559,<wb>оученіці
2293,<wb>едіномоу
654,<wb>глѭште
4447,<wb>повѣждъ
5075,<wb>нам
2170,<wb>когда
159,<wb>сі
969,<wb>бѫдѫтъ
39,<wb>і
526,<wb>чьто
161,<wb>естъ
1719,<wb>знаменіе
347,<wb>твое
1782 1228,<wb>пріше|ствіѣ
39,<wb>і
2806 200,<wb>коньча|ніе
1500,<wb>вѣка
39,<wb>і
579,<wb>отъвѣштавъ
331,<wb>ісъ
141,<wb>рече
210,<wb>імъ
2869,<wb>блюдѣте
70,<wb>сѧ
105,<wb>да
696 115,<wb>нік|то
71,<wb>же
544,<wb>васъ
62,<wb>не
1445 1956,<wb>прѣль|стітъ
39,<wb>і
579,<wb>отъвѣштавъ
331,<wb>ісъ
141,<wb>рече
210,<wb>імъ
2869,<wb>блюдѣте
70,<wb>сѧ
105,<wb>да
748,<wb>ніктоже
544,<wb>васъ
62,<wb>не
1445 1956,<wb>прѣль|стітъ
899,<wb>мнозі
112,<wb>бо
2283,<wb>прідѫтъ
56,<wb>въ
466,<wb>імѧ
346,<wb>мое
1440,<wb>глште
695,<wb>азь
568,<wb>есмъ
930,<wb>хъ
39,<wb>і
823,<wb>многъі
6645,<wb>прѣльстѧтъ
899,<wb>мнозі
112,<wb>бо
2283,<wb>прідѫтъ
56,<wb>въ
466,<wb>імѧ
346,<wb>мое
1440,<wb>глште
695,<wb>азь
568,<wb>есмъ
7077,<wb>хь
39,<wb>і
823,<wb>многъі
127 137 2277,<wb>прѣ|лъ|стѧтъ
7973,<wb>оуслъішаті
71,<wb>же
1048,<wb>імате
4335,<wb>брані
39,<wb>і
379 276,<wb>слъіша|ніі
1369,<wb>відіте
208,<wb>нъ
62,<wb>не
6478,<wb>оужасаіте
70,<wb>сѧ
2542,<wb>подобаетъ
112,<wb>бо
2710,<wb>сімъ
3052,<wb>всѣмъ
503,<wb>бъіті
208,<wb>нъ
62,<wb>не
516,<wb>тъгда
161,<wb>естъ
5873,<wb>коньчіна
7973,<wb>оуслъішаті
71,<wb>же
1048,<wb>імате
4335,<wb>брані
39,<wb>і
62 69 3626 297,<wb>не|ст|рое|ніѣ
39,<wb>і
379 297,<wb>слъіша|ніѣ
355 276,<wb>бра|ніі
1369,<wb>відіте
208,<wb>нъ
62,<wb>не
6478,<wb>оужасаіте
70,<wb>сѧ
2542,<wb>подобаетъ
112,<wb>бо
2710,<wb>сімъ
3052,<wb>всѣмъ
503,<wb>бъіті
208,<wb>нъ
62,<wb>не
916,<wb>тогда
161,<wb>естъ
2050 2344,<wb>кон|чіна
4171,<wb>въстанетъ
112,<wb>бо
691 569,<wb>ѧзъі|кь
68,<wb>на
1338 569,<wb>ѧз|кь
39,<wb>і
2660,<wb>црство
68,<wb>на
845 372,<wb>цръ|ство
39,<wb>і
969,<wb>бѫдѫтъ
7776,<wb>гладі
39,<wb>і
7446,<wb>пагоубъі
39,<wb>і
2393 129,<wb>трѫ|сі
67,<wb>по
1607,<wb>мѣста
4171,<wb>въстанетъ
112,<wb>бо
2867,<wb>ѧзкъ
68,<wb>на
1338 569,<wb>ѧз|кь
39,<wb>і
774 372,<wb>црь|ство
68,<wb>на
2660,<wb>црство
39,<wb>і
969,<wb>бѫдѫтъ
7776,<wb>гладі
39,<wb>і
7446,<wb>пагоубъі
39,<wb>і
2393 129,<wb>трѫ|сі
67,<wb>по
1607,<wb>мѣста
913,<wb>въсѣ
71,<wb>же
747,<wb>сіі
5087,<wb>начѧло
1207 1448,<wb>болѣз|немъ
264,<wb>вьсѣ
71,<wb>же
159,<wb>сі
5087,<wb>начѧло
1207 1448,<wb>болѣз|немъ
617 211,<wb>ть|гда
4764,<wb>прѣдадѧтъ
237,<wb>въі
56,<wb>въ
4581,<wb>скръбь
39,<wb>і
3345,<wb>оубіѭтъ
237,<wb>въі
39,<wb>і
1215,<wb>бѫдете
6274,<wb>ненавідімі
4096,<wb>всѣмі
2887,<wb>ѧзъікъі
976,<wb>імене
563,<wb>моего
368,<wb>раді
916,<wb>тогда
444 275 32,<wb>прѣда|дѧ|т
237,<wb>въі
56,<wb>въ
1460 315,<wb>скръ|бъ
39,<wb>і
3345,<wb>оубіѭтъ
237,<wb>въі
39,<wb>і
1215,<wb>бѫдете
6274,<wb>ненавідімі
4096,<wb>всѣмі
2887,<wb>ѧзъікъі
976,<wb>імене
563,<wb>моего
368,<wb>раді
39,<wb>і
617 211,<wb>ть|гда
3408 1371,<wb>съблаз|нѧтъ
70,<wb>сѧ
899,<wb>мнозі
39,<wb>і
4634,<wb>дроугь
1096,<wb>дроуга
1419,<wb>прѣдастъ
39,<wb>і
3236 514,<wb>възненаві|дітъ
4634,<wb>дроугь
1096,<wb>дроуга
39,<wb>і
916,<wb>тогда
3408 1371,<wb>съблаз|нѧтъ
70,<wb>сѧ
899,<wb>мнозі
39,<wb>і
1121,<wb>дроугъ
1096,<wb>дроуга
1419,<wb>прѣдастъ
39,<wb>і
5042 514,<wb>вьзненаві|дітъ
4634,<wb>дроугь
1096,<wb>дроуга
39,<wb>і
899,<wb>мнозі
966 124 16,<wb>ль|жі|і
6341,<wb>пррці
4363,<wb>въстанѫтъ
39,<wb>і
6645,<wb>прѣльстѧтъ
823,<wb>многъі
39,<wb>і
899,<wb>мнозі
7775,<wb>лъжіі
6341,<wb>пррці
4363,<wb>въстанѫтъ
39,<wb>і
6645,<wb>прѣльстѧтъ
823,<wb>многъі
39,<wb>і
171,<wb>за
851 85 4522,<wb>оум|но|женіе
7208,<wb>безаконіѣ
7719 5488,<wb>ісѧ|кнетъ
4576,<wb>любъі
4314,<wb>многъііхъ
39,<wb>і
171,<wb>за
851 85 6087,<wb>оум|но|женіѣ
7208,<wb>безаконіѣ
7719 5488,<wb>ісѧ|кнетъ
4576,<wb>любъі
4314,<wb>многъііхъ
7430,<wb>прѣтръпѣвъі
71,<wb>же
156,<wb>до
2289,<wb>коньца
617,<wb>ть
6815,<wb>спсетъ
70,<wb>сѧ
7430,<wb>прѣтръпѣвъі
71,<wb>же
156,<wb>до
2050 218,<wb>кон|ца
157,<wb>тъ
6815,<wb>спсетъ
70,<wb>сѧ
39,<wb>і
2582 97,<wb>проповѣ|стъ
70,<wb>сѧ
2897 4061,<wb>ев|гліе
121,<wb>се
4670,<wb>црствіѣ
67,<wb>по
4855,<wb>всеі
4506 968,<wb>въселе|нѣі
56,<wb>въ
1176 382 137 372,<wb>сьвѣ|дѣте|лъ|ство
877,<wb>вьсѣмъ
1338 391,<wb>ѧз|комъ
39,<wb>і
916,<wb>тогда
786,<wb>прідетъ
2050 2344,<wb>кон|чіна
317,<wb>егда
1893,<wb>оузьріте
4264 6768,<wb>мръ|зость
171,<wb>за
558 492 297,<wb>поу|стѣ|ніѣ
141 602,<wb>рече|нѫѭ
105 60 1337,<wb>да|ні|ломъ
57 117 391,<wb>пр|ро|комъ
1050 474,<wb>стоѧ|штѫ
68,<wb>на
1122,<wb>мѣстѣ
227,<wb>іже
7981,<wb>чьтетъ
105,<wb>да
6266 2649,<wb>разоумѣва|ет
916,<wb>тогда
4526,<wb>сѫштіі
56,<wb>въ
685,<wb>іюдеі
105,<wb>да
3715 304,<wb>бѣга|ѭтъ
68,<wb>на
1792,<wb>горъі
39,<wb>і
227,<wb>іже
68,<wb>на
6980,<wb>кровѣхъ
105,<wb>да
62,<wb>не
75 6245,<wb>съ|ходітъ
160 194,<wb>въз|ѧтъ
227,<wb>іже
161,<wb>естъ
56,<wb>въ
756,<wb>домоу
135,<wb>его
39,<wb>і
227,<wb>іже
68,<wb>на
1831,<wb>селѣ
964,<wb>такожде
105,<wb>да
62,<wb>не
4319,<wb>възвратітъ
70,<wb>сѧ
7028,<wb>въспѧть
160 194,<wb>въз|ѧтъ
607 312,<wb>рі|зь
809,<wb>своіхъ
1364,<wb>горе
71,<wb>же
7155 897,<wb>непраздъ|нъіімъ
39,<wb>і
156 24 769,<wb>до|ѧ|штіімъ
56,<wb>въ
288,<wb>тъі
752,<wb>дьні
2537,<wb>моліте
71,<wb>же
70,<wb>сѧ
105,<wb>да
62,<wb>не
362,<wb>бѫдетъ
165 372,<wb>бѣ|ство
709,<wb>ваше
1684 181,<wb>зі|мѣ
122,<wb>ні
56,<wb>въ
3292,<wb>сѫботъ
362,<wb>бѫдетъ
112,<wb>бо
516,<wb>тъгда
4581,<wb>скръбь
2163,<wb>веліка
78 134 48,<wb>ѣ|ка|же
595,<wb>нѣстъ
7154,<wb>бъіла
84,<wb>отъ
7328,<wb>начѧла
3259,<wb>всего
975,<wb>міра
156,<wb>до
1831,<wb>селѣ
122,<wb>ні
584,<wb>іматъ
503,<wb>бъіті
39,<wb>і
201,<wb>аште
62,<wb>не
3958,<wb>бішѧ
7691 2501 74,<wb>прѣк|раті|лі
70,<wb>сѧ
294 200,<wb>де|ніе
323,<wb>ті
171,<wb>за
6412 471,<wb>ізбра|нъіѧ
71,<wb>же
127 5051 591 133,<wb>прѣ|кра|тѧ|ть
70,<wb>сѧ
916,<wb>тогда
201,<wb>аште
523,<wb>кто
1214,<wb>речетъ
260,<wb>вамъ
121,<wb>се
978,<wb>сьде
930,<wb>хъ
178,<wb>лі
978,<wb>сьде
62,<wb>не
3651,<wb>імѣте
994,<wb>вѣръі
4363,<wb>въстанѫтъ
112,<wb>бо
7775,<wb>лъжіі
136 147,<wb>х|сті
39,<wb>і
7775,<wb>лъжіі
6341,<wb>пррці
39,<wb>і
4925,<wb>дадѧтъ
1767,<wb>знаменіѣ
3492,<wb>веліѣ
39,<wb>і
1457,<wb>чоудеса
99,<wb>ѣко
7773,<wb>прѣльстіті
201,<wb>аште
161,<wb>естъ
6377,<wb>възможьно
39,<wb>і
6412 471,<wb>ізбра|нъіѧ
121,<wb>се
536,<wb>прѣжде
949,<wb>рѣхъ
260,<wb>вамъ
201,<wb>аште
2159,<wb>рекѫтъ
260,<wb>вамъ
121,<wb>се
56,<wb>въ
1560,<wb>поустъіні
161,<wb>естъ
62,<wb>не
1976,<wb>ідѣте
121,<wb>се
56,<wb>въ
6980,<wb>кровѣхъ
62,<wb>не
3651,<wb>імѣте
994,<wb>вѣръі
308,<wb>ѣкоже
112,<wb>бо
2101 60,<wb>млъ|ні
4832,<wb>ісходітъ
221,<wb>от
3202 569,<wb>въсто|кь
39,<wb>і
77 597 255,<wb>а|влѣ|етъ
70,<wb>сѧ
156,<wb>до
3834,<wb>западъ
311,<wb>тако
362,<wb>бѫдетъ
39,<wb>і
1782 830,<wb>пріше|ствіе
732,<wb>сна
5709,<wb>члча
773,<wb>ідеже
112,<wb>бо
201,<wb>аште
4651,<wb>бѫдет
905 433,<wb>троу|пь
390,<wb>тоу
190 287 3308,<wb>сь|бе|рѫтъ
70,<wb>сѧ
47 125 74,<wb>о|рь|лі
39,<wb>і
600,<wb>абіе
71,<wb>же
67,<wb>по
4333,<wb>скръбі
2063,<wb>дьніі
1383,<wb>тѣхъ
1320 5937,<wb>слъ|нце
4264 5488,<wb>мръ|кнетъ
39,<wb>і
7150,<wb>лоуна
62,<wb>не
520,<wb>дастъ
2720,<wb>свѣта
524,<wb>своего
39,<wb>і
5071,<wb>звѣздъі
753 491,<wb>съпа|дѫтъ
75,<wb>съ
1586,<wb>нбсе
1464,<wb>сілъі
112,<wb>бо
1525 471,<wb>нбс|нъіѧ
2109 5194,<wb>дві|гнѫтъ
70,<wb>сѧ
39,<wb>і
916,<wb>тогда
5566,<wb>ѣвітъ
70,<wb>сѧ
1719,<wb>знаменіе
732,<wb>сна
5709,<wb>члча
68,<wb>на
3728,<wb>нбсі
39,<wb>і
916,<wb>тогда
6832 380 32,<wb>въспла|чѧ|т
70,<wb>сѧ
572,<wb>всѣ
5175,<wb>колѣна
4064 1027,<wb>земъ|наа
39,<wb>і
4184,<wb>оузьрѧтъ
732,<wb>сна
5709,<wb>члча
2771,<wb>грѧдѫшта
68,<wb>на
4915,<wb>облацѣхъ
5052 668,<wb>нбсъ|нъііхъ
75,<wb>съ
1810,<wb>сілоѭ
39,<wb>і
4577,<wb>славоѭ
7153,<wb>веліеѭ
39,<wb>і
4348,<wb>посълетъ
4753,<wb>англъі
599,<wb>своѧ
75,<wb>съ
3452 55,<wb>глас|мъ
6092,<wb>веліемъ
2393 280 687,<wb>трѫ|бь|номъ
39,<wb>і
190 287 3308,<wb>сь|бе|рѫтъ
3942 471,<wb>ізбьра|нъіѧ
135,<wb>его
221,<wb>от
6469,<wb>четъірь
3125,<wb>вѣтръ
221,<wb>от
3035,<wb>конець
5052,<wb>нбсъ
156,<wb>до
3035,<wb>конець
299,<wb>іхъ
84,<wb>отъ
3597 1851,<wb>смоковь|ніцѧ
71,<wb>же
5539,<wb>наоучіте
70,<wb>сѧ
5378 185,<wb>пріт|чі
317,<wb>егда
1019,<wb>оуже
140 33 4253,<wb>вѣ|ѣ|еѧ
362,<wb>бѫдетъ
1283 86,<wb>мла|да
39,<wb>і
6587,<wb>ліствіе
3377 31 733,<wb>прозѧ|б|нетъ
1271,<wb>вѣсте
99,<wb>ѣко
5476,<wb>блізь
161,<wb>естъ
4016,<wb>жѧтва
964,<wb>такожде
39,<wb>і
237,<wb>въі
317,<wb>егда
1893,<wb>оузьріте
264,<wb>вьсѣ
159,<wb>сі
3989,<wb>вѣдіте
99,<wb>ѣко
5476,<wb>блізь
161,<wb>естъ
90,<wb>прі
5926,<wb>двьрехъ
2099,<wb>амінъ
284,<wb>глѭ
260,<wb>вамъ
99,<wb>ѣко
62,<wb>не
1250,<wb>мімо
1861,<wb>ідетъ
3562,<wb>родь
190,<wb>сь
1315,<wb>доньдеже
1514,<wb>вьса
159,<wb>сі
1387 32,<wb>бѫдѫ|т
681,<wb>амін
284,<wb>глѭ
260,<wb>вамъ
62,<wb>не
1250,<wb>мімо
1861,<wb>ідетъ
6005 23,<wb>родо|с
1315,<wb>доньдеже
572,<wb>всѣ
159,<wb>сі
969,<wb>бѫдѫтъ
2140,<wb>нбо
39,<wb>і
1748,<wb>землѣ
1250,<wb>мімо
1861,<wb>ідетъ
77,<wb>а
1020,<wb>словеса
556,<wb>моѣ
62,<wb>не
1250,<wb>мімо
4136,<wb>ідѫтъ
2140,<wb>нбо
39,<wb>і
1748,<wb>землѣ
2747 3088,<wb>мімоі|дете
77,<wb>а
1020,<wb>словеса
556,<wb>моѣ
62,<wb>не
2747 175 32,<wb>мімоі|дѫ|т
77,<wb>а
47,<wb>о
752,<wb>дьні
2318,<wb>томъ
39,<wb>і
47,<wb>о
5485,<wb>годінѣ
2210,<wb>тоі
748,<wb>ніктоже
62,<wb>не
1559,<wb>вѣстъ
122,<wb>ні
4637,<wb>англі
5052 276,<wb>нбсъ|ніі
2172,<wb>тъкъмо
2088,<wb>оцъ
438,<wb>едінъ
47,<wb>о
752,<wb>дьні
2318,<wb>томъ
39,<wb>і
47,<wb>о
5485,<wb>годінѣ
2210,<wb>тоі
748,<wb>ніктоже
62,<wb>не
5537,<wb>вѣсть
122,<wb>ні
6708,<wb>аглі
1525 60,<wb>нбс|ні
1644,<wb>тъкмо
749,<wb>оць
438,<wb>едінъ
308,<wb>ѣкоже
112,<wb>бо
56,<wb>въ
752,<wb>дьні
4521 219,<wb>ное|въі
311,<wb>тако
362,<wb>бѫдетъ
39,<wb>і
56,<wb>въ
752,<wb>дьні
732,<wb>сна
2314 1366,<wb>члчь|скааго
308,<wb>ѣкоже
112,<wb>бо
351,<wb>бъістъ
56,<wb>въ
752,<wb>дьні
4521 219,<wb>ное|въі
311,<wb>тако
362,<wb>бѫдетъ
39,<wb>і
56,<wb>въ
752,<wb>дьні
732,<wb>сна
5709,<wb>члча
308,<wb>ѣкоже
112,<wb>бо
812,<wb>бѣахѫ
56,<wb>въ
752,<wb>дьні
536,<wb>прѣжде
7986,<wb>потопа
7518,<wb>ѣдѫште
39,<wb>і
303 393,<wb>пі|ѭште
71 7211,<wb>же|нѧште
70,<wb>сѧ
39,<wb>і
2810 5327,<wb>поса|гаѭште
156,<wb>до
3068,<wb>негоже
752,<wb>дьні
1776 465,<wb>въніде|ное
56,<wb>въ
184 18 83 28,<wb>ко|в|че|г
308,<wb>ѣкоже
112,<wb>бо
812,<wb>бѣахѫ
56,<wb>въ
752,<wb>дьні
536,<wb>прѣжде
7986,<wb>потопа
7518,<wb>ѣдѫште
39,<wb>і
303 393,<wb>пі|ѭште
71 7211,<wb>же|нѧште
70,<wb>сѧ
39,<wb>і
2810 5327,<wb>поса|гаѭште
156,<wb>до
513,<wb>него
71,<wb>же
713,<wb>дьне
1776,<wb>въніде
4521,<wb>ное
56,<wb>въ
184 92 83 1055,<wb>ко|въ|че|гь
39,<wb>і
62,<wb>не
6401 5411,<wb>оштоу|тішѧ
1315,<wb>доньдеже
416,<wb>пріде
1182 461,<wb>пото|пъ
39,<wb>і
160 194,<wb>въз|ѧтъ
2415,<wb>всѧ
311,<wb>тако
362,<wb>бѫдетъ
39,<wb>і
1782 830,<wb>пріше|ствіе
732,<wb>сна
345 7394,<wb>чл|чѣ
39,<wb>і
62,<wb>не
6401 5411,<wb>оштоу|тішѧ
1315,<wb>доньдеже
416,<wb>пріде
1182 433,<wb>пото|пь
39,<wb>і
160 194,<wb>въз|ѧтъ
3337,<wb>въсѧ
311,<wb>тако
362,<wb>бѫдетъ
39,<wb>і
56,<wb>въ
1782 830,<wb>пріше|ствіе
732,<wb>сна
5709,<wb>члча
916,<wb>тогда
1215,<wb>бѫдете
3760,<wb>дьва
68,<wb>на
1831,<wb>селѣ
438,<wb>едінъ
4254 132,<wb>поем|ле
916,<wb>тогда
971,<wb>дъва
1215,<wb>бѫдете
68,<wb>на
1831,<wb>селѣ
438,<wb>едінъ
4254 132 32,<wb>поем|ле|т
70,<wb>сѧ
77,<wb>а
901,<wb>дроугъі
6945,<wb>оставлѣетъ
70,<wb>сѧ
1764,<wb>дьвѣ
296 500 166,<wb>ме|лѭ|шті
56,<wb>въ
3389 98 103 9,<wb>жръ|нъ|ва|х
2280,<wb>едіна
4254 598,<wb>поем|летъ
70,<wb>сѧ
39,<wb>і
2280,<wb>едіна
6945,<wb>оставлѣетъ
70,<wb>сѧ
1351 89 440,<wb>бь|ді|діте
222,<wb>оубо
99,<wb>ѣко
62,<wb>не
1271,<wb>вѣсте
56,<wb>въ
3403,<wb>кѫѭ
3576,<wb>годінѫ
459,<wb>гь
1870,<wb>вашъ
786,<wb>прідетъ
3334,<wb>бьдіте
99,<wb>ѣко
62,<wb>не
1271,<wb>вѣсте
713,<wb>дьне
121,<wb>се
71,<wb>же
3989,<wb>вѣдіте
99,<wb>ѣко
201,<wb>аште
453,<wb>бі
5880,<wb>вѣдѣлъ
5641 98,<wb>гд|нъ
7148,<wb>храма
56,<wb>въ
3403,<wb>кѫѭ
5070,<wb>стражѫ
3853,<wb>тать
786,<wb>прідетъ
1351 6020,<wb>бь|дѣлъ
222,<wb>оубо
453,<wb>бі
39,<wb>і
62,<wb>не
453,<wb>бі
5725,<wb>оставілъ
826 339 52,<wb>подъ|ръі|ті
6823,<wb>храмінъі
1276,<wb>своеѧ
387,<wb>сего
368,<wb>раді
39,<wb>і
237,<wb>въі
2679,<wb>бѫдѣте
5829,<wb>готові
99,<wb>ѣко
56,<wb>въ
1602,<wb>ньже
62,<wb>не
402 1508,<wb>мъ|ніте
567 349,<wb>ча|сь
423,<wb>снъ
2314,<wb>члчь
786,<wb>прідетъ
523,<wb>кто
222,<wb>оубо
161,<wb>естъ
3990 401,<wb>вѣръ|нъіі
4820,<wb>рабь
39,<wb>і
4770,<wb>мѫдръі
538,<wb>егоже
4911,<wb>поставітъ
2502,<wb>гнъ
1251,<wb>надъ
156 2517,<wb>до|момъ
725,<wb>своімъ
105,<wb>да
520,<wb>дастъ
210,<wb>імъ
56,<wb>въ
783,<wb>врѣмѧ
3924,<wb>піштѫ
2832,<wb>блаженъ
4820 32,<wb>рабь|т
538,<wb>егоже
1782 188,<wb>пріше|дь
459,<wb>гь
424,<wb>своі
2120,<wb>обрѧштетъ
311,<wb>тако
4907,<wb>творѧшта
681,<wb>амін
284,<wb>глѭ
260,<wb>вамъ
99,<wb>ѣко
1251,<wb>надъ
5426,<wb>въсѣмъ
414 1192,<wb>імѣ|ніемъ
4911,<wb>поставітъ
39,<wb>і
4911,<wb>поставітъ
39,<wb>і
201,<wb>аште
178,<wb>лі
141 32,<wb>рече|т
6003,<wb>зьлъі
1379 32,<wb>рабо|т
56,<wb>въ
3636,<wb>срдці
2245,<wb>своемъ
1103 514,<wb>моу|дітъ
2502,<wb>гнъ
329,<wb>моі
1382,<wb>пріті
39,<wb>і
2445 126 32,<wb>начь|не|т
4673,<wb>біті
4420 289,<wb>клеврѣ|тъі
599,<wb>своѧ
1324,<wb>ѣсті
71,<wb>же
39,<wb>і
2061,<wb>піті
75,<wb>съ
303 33 1678 123,<wb>пі|ѣ|ніца|мі
786,<wb>прідетъ
71,<wb>же
2502,<wb>гнъ
1322,<wb>раба
485,<wb>того
56,<wb>въ
6826,<wb>ден
56,<wb>въ
1602,<wb>ньже
62,<wb>не
109 6396,<wb>ч|ѣетъ
39,<wb>і
56,<wb>въ
1396,<wb>часъ
56,<wb>въ
1602,<wb>ньже
62,<wb>не
1559,<wb>вѣстъ
39,<wb>і
164 54 7420,<wb>про|те|шетъ
39,<wb>і
1736 143,<wb>полъ|ма
39,<wb>і
3692,<wb>чѧсть
135,<wb>его
75,<wb>съ
4357 289,<wb>упокрі|тъі
761 32,<wb>положі|т
390,<wb>тоу
362,<wb>бѫдетъ
3526,<wb>плачь
39,<wb>і
1460 257 133,<wb>скръ|жь|ть
3876,<wb>зѫбомъ
916,<wb>тогда
3391 873,<wb>оуподо|бітъ
70,<wb>сѧ
2660,<wb>црство
5929,<wb>нбсное
1344,<wb>іті
5262,<wb>дѣвъ
858,<wb>ѧже
1729 110,<wb>пріемъ|шѧ
1599 137 946,<wb>свѣті|лъ|нікъі
2820,<wb>ізідѫ
1975,<wb>протівѫ
4152 887,<wb>жені|хоу
39,<wb>і
1153 492,<wb>невѣ|стѣ
4960,<wb>оуподобі
70,<wb>сѧ
2660,<wb>црство
582 465,<wb>нб|ное
39,<wb>і
5262,<wb>дѣвъ
53,<wb>д
71,<wb>же
165,<wb>бѣ
84,<wb>отъ
562,<wb>ніхъ
710 16,<wb>боу|і
39,<wb>і
1313,<wb>пѧть
283 625,<wb>мѫ|дръ
710 24,<wb>боу|ѧ
112,<wb>бо
1729 110,<wb>пріемъ|шѧ
1599 137 946,<wb>свѣті|лъ|нікъі
599,<wb>своѧ
62,<wb>не
5766,<wb>възѧшѧ
75,<wb>съ
1391,<wb>собоѭ
7546,<wb>олѣа
77,<wb>а
4770 24,<wb>мѫдръі|ѧ
4551,<wb>пріѧсѧ
190,<wb>сь
1391,<wb>собоѭ
47 2389,<wb>о|лѣі
56,<wb>въ
2035 2506,<wb>съсѫ|дѣхъ
75,<wb>съ
6221,<wb>свѣтільнікъі
1060,<wb>своімі
1103 275 324,<wb>моу|дѧ|штоу
71,<wb>же
4152 887,<wb>жені|хоу
160 7146 2 281,<wb>въз|дрѣма|ш|сѧ
2415,<wb>всѧ
39,<wb>і
753 216,<wb>съпа|ахѫ
1550,<wb>полоу
1516,<wb>ношті
71,<wb>же
7188,<wb>вьпль
351,<wb>бъістъ
121,<wb>се
4087,<wb>женіхъ
505 6855,<wb>грѧ|дет
1248 440,<wb>ісхо|діте
56,<wb>въ
4286 200,<wb>сьрѣте|ніе
144,<wb>емоу
916,<wb>тогда
4912,<wb>въсташѧ
4519,<wb>дѣвъі
288,<wb>тъі
39,<wb>і
1809 3169,<wb>оукра|сішѧ
6221,<wb>свѣтільнікъі
599,<wb>своѧ
77,<wb>а
710 24,<wb>боу|ѧ
510,<wb>рѣшѧ
468,<wb>кь
4770 204,<wb>мѫдръі|імъ
2079,<wb>дадіте
39,<wb>і
489,<wb>намъ
221,<wb>от
7546,<wb>олѣа
1762,<wb>вашего
99,<wb>ѣко
2363 541,<wb>свѣтіль|ніці
1509,<wb>наші
3059 170 304,<wb>оуга|са|ѭтъ
1992,<wb>отъвѣшташѧ
71,<wb>же
4770 24,<wb>мѫдръі|ѧ
